users,times,text,topic,quote
"
In-greed","
Опубликовано: 1 фев 2016
","

	Не думаю, что можно вылечить уже посеченные концы, но предотвратить сечение волос можно, если смазывать кончики специальными маслами. Мне в Avon нравится средство от сеченых кончиков, после мытья волос всегда его наношу.

",Beauty,
"
pkrymskaya","
Опубликовано: 22 фев 2016
","

	нельзя, сеченые только отрезать. назад они уже нормальными, к сожалению, не станут

",Beauty,
"
Sveta","
Опубликовано: 23 фев 2016
","

	Нужно устранить не следствие, а причину! Волосы секутся из-за питания, ухода, средств для ухода. С питанием все ясно, много полезной еды, а вот добавки такие как витамин е, льняное масло, мумие. Уход  основан на питании волос маслами, касторовое, оливковое и репейное, кокосовое.   Средства для ухода это правильные расчески, силиконовые резинки, частичный отказ от укладочных средств и фена. Масло для кончиков и стрижка 1 раз в 2-3 месяца

",Beauty,
"
zattana","
Опубликовано: 8 мар 2016
","

	Вылечить нельзя, их можно замаскировать, чтоб выглядели более менее ухожено, но посеченными они все равно останутся, только обрезать придется.

",Beauty,
"
Фиона","
Опубликовано: 18 мар 2016
","

	Согласна с тем, что вылечить секущиеся кончики нельзя их нужно только остригать. А вот предотвратить действительно можно. Я в свое время заметила, что когда меньше пользуюсь утюжками и плойками,то и волосы лучше выглядят. В общем меньше механического воздействия и будут ваши волосы на много лучше выглядеть.

",Beauty,
"
farovskayaoksana","
Опубликовано: 17 июл 2019
",,Beauty,"

			только отрезать, это же потрепанная кутикула, которая здоровой не станет хоть обмажься маслом(
		
"
"
Ромарина","
Опубликовано: 14 окт 2019
","

	Вообще горячие ножницы мне не понравились, сечение точно такое как и раньше, мне больше сывороткой голдвелл мазать нравится, она мгновенного действия намазала и пошла, правда до следующей помывки концы идеальны, но опять же помазать можно) 


",Beauty,
"
УльтраМарина","
Опубликовано: 27 окт 2019
","
	Те, что уже засеклись - полюбому отрезать, а чтобы в будущем не начали опять сечься, надо уход поменять, по-хорошему неплохо бы волосы запитать, в этом плане как раз масла неплохо работают, тот же купаж масел хорс форс вообще топ
",Beauty,"

			только отрезать, это же потрепанная кутикула, которая здоровой не станет хоть обмажься маслом(
		
"
"
ikari","
Опубликовано: 4 дек 2019
","

	Отрезав один см, длина сильно не пострадает

",Beauty,
"
MarinaM","
Опубликовано: 6 дек 2019
","

	Я свои вылечила! и сейчас даже продолжая осветляться сохраняю их здоровье!


	Пользуюсь органической маской, без всякой химии


	Если интересно вот их инстаграм https://www.instagram.com/matthewmorzecosmetics/


	Попробуй, думаю тебя это тоже спасет!

",Beauty,
"
Ocean_eyes","
Опубликовано: 20 дек 2019
","

	Как это вылечить?) Обрезать и начать нормально ухаживать. А почему терять длину? Кончики - 1-2 см

",Beauty,
"
Регина844","
Опубликовано: 7 дек 2019
","

	Девушки, кто сталкивался с чувствительностью кожи головы? Я заметила, что после того как мою голову у меня возникает покраснение возле корней и голова чешется. Самое интересное, что как волосы высыхают все проходит.

",Beauty,
"
Александра Фокина","
Опубликовано: 7 дек 2019
","

	Возможно что-то в воде? А остальное тело не чешется?

",Beauty,
"
Регина844","
Опубликовано: 7 дек 2019
","
	Нет не чешется.
",Beauty,"

			Девушки, кто сталкивался с чувствительностью кожи головы? Я заметила, что после того как мою голову у меня возникает покраснение возле корней и голова чешется. Самое интересное, что как волосы высыхают все проходит.
		
"
"
Маргарита Ткаченко","
Опубликовано: 7 дек 2019
","
	Это вам не подходит шампунь. Попробуйте средства содержащие Д-пантенол, например гиалуроновый шампунь Dr.Stern.
",Beauty,"

			Девушки, кто сталкивался с чувствительностью кожи головы? Я заметила, что после того как мою голову у меня возникает покраснение возле корней и голова чешется. Самое интересное, что как волосы высыхают все проходит.
		
"
"
МимиШель","
Опубликовано: 9 дек 2019
","

	Как бы не аллергия. А вообще действительно очень похоже на то, что шампунь не подходит, есть смысл перейти на что-то более нежное и менее агрессивное. У меня в своё время была подобная проблема, решила её переходом на бессульфатный шампунь лошадиная сила с овсяными пав

",Beauty,
"
Ocean_eyes","
Опубликовано: 20 дек 2019
","

	Попробуйте спец шампуни для чувствительной кожи головы

",Beauty,
"
Гость Ирина","
Опубликовано: 27 ноя 2017
","

	Здравствуйте, подскажите, проверенные маски, которые укрепляют волосы, а то зимой мои волосы похожи на солому!

",Beauty,
"
Валерия Соломонова","
Опубликовано: 28 дек 2017
","

	Перепробовав множество домашних рецептов, я окончательно в них разочаровалась! Делала все правильно, соблюдала пропорции.. но мне они не помогают просто никак! Поэтому я для укрепления взяла маску из аптеки ультра укрепляющую ( от лошадиной силы) , эффектом более чем довольна)) волосы перестали лезть! сейчас на всякий для закрепления результата еще курс витаминов пропиваю..)) а масочкой теперь просто для укрепления пользуюсь)) 

",Beauty,
"
Юля1980","
Опубликовано: 29 дек 2017
","

	С серацином и гибискусом которая лошадиная сила , единственная которая реально хорошо волосы укрепила, в аптеках продается

",Beauty,
"
ТатьянаФ","
Опубликовано: 17 мар 2018
			
				(изменено)
			
			
			
		","

	У меня в том году волосы сильно испортились после юга, помогла маска Пантенол Либридерм,  восстановила мои волосы, даже объем появился, чего раньше не наблюдалось.


Изменено 17 мар 2018 пользователем ТатьянаФ

",Beauty,
"
Camille_","
Опубликовано: 18 мар 2018
","

	маски для волос сейчас производители стали выпускать не подходящие их инструкции, осторожнее с ними , девушки...


Химия это все же...и это надо учитывать.

",Beauty,
Химия это все же,"
Опубликовано: 21 мар 2018
","

	сейчас и натуральные продукты не сильно натуральные((( везде всего понапихано... я тающую люблю с перцем и гиалуроновой кислотой, использую ее периодически. по крайней мере, ничего в пропорциях не перепутаю, уже там все за меня сделали.

",Beauty,
"
Оксана Ларюкова","
Опубликовано: 26 май 2020
","

	У меня сильно секутся волосы, думаю что это из-за того что часто делаю укладки горячим феном. Скажите кто пользуется термозащитой, она поможет предотвратить сечение кончиков?

",Beauty,
"
Гость","
Опубликовано: 26 май 2020
","

	Если перестанете делать укладки горячим феном то поможет)))

",Beauty,
"
Виктория Трофимова","
Опубликовано: 26 май 2020
","

	Я покупала термозащиту, но никакого эффекта не увидела.

",Beauty,
"
Алина22","
Опубликовано: 27 май 2020
","

	Лучше купите купаж 10 масел horse forse вот оно поможет от секущихся кончиков

",Beauty,
"
Гость","
Опубликовано: 27 май 2020
","

	Термозащита работает только если у вас хороший современный фен который и так не палит волосы.

",Beauty,
"
Регина844","
Опубликовано: 27 май 2020
","

	Я пользуюсь маслом для волос лошадиная сила, оно действует и как защита для волос и улучшает их состояние.

",Beauty,
"
Алина22","
Опубликовано: 8 фев 2020
","

	Вопрос к девушкам с длинными волосами, есть ли у вас какая-то хитрость по уходу за ними, особенно зимой. Поделитесь, пожалуйста

",Beauty,
"
Александра123","
Опубликовано: 8 фев 2020
","

	Я делаю полировку волос раз в 2 месяца.

",Beauty,
"
Гость Оксана","
Опубликовано: 8 фев 2020
","

	Ну не знаю насколько это хитрость, я достаточно часто меняю шампуни, но маска у меня всегда остается одна регенерирующая маска лошадиная сила, она великолепна.

",Beauty,
"
Рита Самочкина","
Опубликовано: 8 фев 2020
","

	Стараюсь делать скрабирование кожи головы раз в неделю и домашнее ламинирование (это маска с яичного желтка и желатина)

",Beauty,
"
Маргарита Ткаченко","
Опубликовано: 8 фев 2020
","

	Мой секрет в том, что у меня нет длинных волос)))

",Beauty,
"
Гость","
Опубликовано: 8 фев 2020
","

	Даже не знаю, я никаких особо ритуалов не провожу, просто у меня всю жизнь длинные волосы...

",Beauty,
"
Грета","
Опубликовано: 20 май 2016
","

	Просто беда какая-то со мной в последнее время - ужасная перхоть, буквально клочьями сыпется. Никогда раньше не знала что это такое, а тут на тебе! Девочки, поделитесь какими-нибудь народными методами избавления от этой напасти. Хочется чем-то натуральным лечиться, а не химией волос портить. 

",Beauty,
"
Talita","
Опубликовано: 20 май 2016
","

	Я не пробовала народные средства. Мне уже много лет помогает шампунь хеденшолдерс. Даже сама не думала, что именно он поможет. Но уже 6 лет им мою голову и перхоти нет. 

",Beauty,
"
lena.a","
Опубликовано: 24 май 2016
","

	вот я тоже за него, хоть и не верила, но мне он реально помог

",Beauty,
"
PoliaNa","
Опубликовано: 25 май 2016
","

	А я бы не стала полагаться на народные методы. Перхоть - это серьёзно, это заболевание кожи головы, и просто помазать травками не пойдёт, нужно лечить. Очень хорошо помогает шампунь Низорал. Я его покупаю в аптеке, он очень дорогой, но быстро помогает. Пузырёк хоть и малюсенький, но его надолго хватит.  

",Beauty,
"
Xuos","
Опубликовано: 27 июн 2016
","
Надо определить - перхоть это грибок, или перхоть - это пересушенная кожа.
если где-то в парихмахерской занесли грибок - то его надо лечить мед препаратами..
",Beauty,
"
КаринаLissa","
Опубликовано: 22 авг 2016
","

",Beauty,"

			Просто беда какая-то со мной в последнее время - ужасная перхоть, буквально клочьями сыпется. Никогда раньше не знала что это такое, а тут на тебе! Девочки, поделитесь какими-нибудь народными методами избавления от этой напасти. Хочется чем-то натуральным лечиться, а не химией волос портить. 
		
"
"
Натали Липатова","
Опубликовано: 23 апр 2019
","

	если реально хотите вылечиться, советую все-таки сходить в аптеку и взять нормальный шампунь с большим содержанием кетоконазола. я сыну брала форте шампунь (хорсфорс), он помог. только пользуйтесь как в инструкции написано, тогда гарантированно поможет

",Beauty,
"
Самодовольная","
Опубликовано: 28 июн 2019
","
	Очень здравое решение кстати. Действительно специалисты очень рекомендуют средства с кетоконазолом. Да и у хорс форс как раз вышло новое ""поколение"" этого шампуня, стоит попробовать
",Beauty,"

			если реально хотите вылечиться, советую все-таки сходить в аптеку и взять нормальный шампунь с большим содержанием кетоконазола. я сыну брала форте шампунь (хорсфорс), он помог. только пользуйтесь как в инструкции написано, тогда гарантированно поможет
		
"
"
Малышева Женечка","
Опубликовано: 17 июл 2019
","

	У меня зимой всегда перхоть появлялась, раньше пользовалась в эти периоды хэданом и пережидала, волосы правда потом пипец были сухие, он почему-то так сушит, многие вообще говорят , я читала(( потом взяла на пробу вот такой шампунь от перхоти , в аптеке его посоветовали. Он вылечил перхоть! Уже долгое время ее нет, надеюсь и не вернется!


",Beauty,
"
larisaa","
Опубликовано: 22 июл 2019
","

	Я честно скажу, не смогла пользоваться лошадиным шампунем, может он и помогает, но пахнет так, что сил нет терпеть и волосы после него как жесткая солома. Именно от перхоти спасаюсь аптечным шампунем Dry Dry.

",Beauty,
"
Маскара","
Опубликовано: 24 июл 2019
","

	Да не нужны никакие народные средства, перхоть надо нормальными средствами лечить. Тот же шампунь хорс форс с кетоконазолом форте отлично с этим справляется

",Beauty,
"
Волнушка","
Опубликовано: 21 авг 2019
","
	у мужа три года была перхоть, чем только не лечили и хеданом и маслами разными - волосы высушили жуть, также аналогичная ситуация произошла от рекомендованного шампуня (Драй-Драй), а вот шампунь Хорс Форс помог за месяц использования полностью очистить голову , также устранить зуд вызванный другими шампунями 
",Beauty,"

			Я честно скажу, не смогла пользоваться лошадиным шампунем, может он и помогает, но пахнет так, что сил нет терпеть и волосы после него как жесткая солома. Именно от перхоти спасаюсь аптечным шампунем Dry Dry.
		
"
"
Конфетка13","
Опубликовано: 27 мар 2020
","

	Доброго всем дня. Такая проблема,  очень сильно пушатся волосы. После мытья сначала завиваются, пока мокрые,  а потом при сушке и расчесывании неимоверно пушатся. Невозможно самой расчесываться,  а тем более делать прически.  Волосы длинные.  Помогите,  есть ли какие то средства дорогие и не очень,  чтобы убрать такую пушистость в домашних условиях? Заранее благодарю. 

",Beauty,
"
Гость","
Опубликовано: 31 мар 2020
","

	Я делала домашнее ламинирование с помощью желатина

",Beauty,
"
Конфетка13","
Опубликовано: 31 мар 2020
","
	Расскажите поподробнее,  как нужно делать?  И каков результат? 
",Beauty,"

			Я делала домашнее ламинирование с помощью желатина
		
"
"
Гость","
Опубликовано: 2 апр 2020
","
	Рецептов куча в интернете, я брала желатин, желток и бальзам все это смешивала и наносила на волосы. Но это занимает много времени, а делать эту маску нужно минимум раз в неделю.
",Beauty,"

			Расскажите поподробнее,  как нужно делать?  И каков результат? 
		
"
"
Оксана Ларюкова","
Опубликовано: 2 апр 2020
","

	У меня тоже волосы пушились одно время, мой парикмахер сказала, что это из-за того что волосы сильно повреждены, посоветовала заняться восстановлением.

",Beauty,
"
Анна Павлова","
Опубликовано: 2 апр 2020
","
	А как вы их восстанавливаете?
",Beauty,"

			У меня тоже волосы пушились одно время, мой парикмахер сказала, что это из-за того что волосы сильно повреждены, посоветовала заняться восстановлением.
		
"
"
Laska","
Опубликовано: 7 фев 2016
","

	Кто-нибудь использовал поваренную соль как средство для массажа головы при выпадении волос? Как бы это абсурдно не звучало, но мне оно помогло. Советовал его, кстати, неплохой парикмахер. После нескольких подобных процедур волосы перестали так сильно выпадать.

",Beauty,
"
Ptichka","
Опубликовано: 8 фев 2016
","

	Впервые о подобном слышу... а чем там может помочь соль? Я не понимаю... Есть ещё те кто пол звался подобным рецептом? Он вам помог? Хотелось бы почитать отзывы.

",Beauty,
"
Laska","
Опубликовано: 8 фев 2016
			
				(изменено)
			
			
			
		","

	Стимулирует кровообращение


Изменено 8 фев 2016 пользователем Laska

",Beauty,
"
Mynix","
Опубликовано: 9 фев 2016
","

	Попробывала, соль была недостаточно крупная, ощущения из детства песок в голове
",Beauty,
"
pkrymskaya","
Опубликовано: 22 фев 2016
","

	А как именно нужно делать? просто сухую соль втирать? или с чем-то ее смешивать? и сколько на голове держать?

",Beauty,
"
viciuax","
Опубликовано: 13 июл 2016
","

	первый раз слышу, что соль помогает при выпадении, знаю только для жирных волос отлично помогает

",Beauty,
"
Виктория Трофимова","
Опубликовано: 6 мар 2020
","

	Дочь решила, что взрослая и покрасила сама волосы, воощем нам нужно хорошее средство для восстановления волос. Что можете посоветовать?

",Beauty,
"
Регина844","
Опубликовано: 6 мар 2020
","

	Тут поможет только стрижка и отрастить новые волосы.

",Beauty,
"
Александра Фокина","
Опубликовано: 6 мар 2020
","

	О у вас доч а я сама такое сотворила) Помог реаниматор для волос Лошадиная сила.

",Beauty,
"
Гость","
Опубликовано: 6 мар 2020
","

	Чудодейственное кокосовое масло, оно сейчас для всего подходит)))

",Beauty,
"
Александра123","
Опубликовано: 6 мар 2020
","
	Я этим реаниматором тоже пользуюсь, отличная штука.
",Beauty,"

			О у вас доч а я сама такое сотворила) Помог реаниматор для волос Лошадиная сила.
		
"
"
Гость","
Опубликовано: 6 мар 2020
","

	Ламинирование волос попробуйте сделать.

",Beauty,
"
Алина22","
Опубликовано: 6 май 2020
","

	После осветления волосы стали сухими и ломкими. Красила сама, краску держала 20 минут, все делала по инструкции. Почему волосы испортились?

",Beauty,
"
Рита Самочкина","
Опубликовано: 6 май 2020
","

	Значит ваши волосы так реагируют на краску, не теряйте времени, а начинайте их восстанавливать.

",Beauty,
"
Алина22","
Опубликовано: 6 май 2020
","
	Легко сказать, как их восстанавливать?
",Beauty,"

			Значит ваши волосы так реагируют на краску, не теряйте времени, а начинайте их восстанавливать.
		
"
"
Рита Самочкина","
Опубликовано: 6 май 2020
","
	Для начала купите восстанавливающий шампунь и бальзам, еще очень хорошо помогает маска тающая маска лошадиная сила.
",Beauty,"

			Легко сказать, как их восстанавливать?
		
"
"
Анна Павлова","
Опубликовано: 6 май 2020
","

	Лучше было дождаться окончания карантина и сходить в салон!

",Beauty,
"
Виктория Трофимова","
Опубликовано: 6 май 2020
","

	Сухость волос может быть вызвана не только краской, может быть вам не подходят ваши средства ухода.

",Beauty,
"
Mirta","
Опубликовано: 8 июн 2016
","

	У меня в последнее время волосы стали какие-то тусклые, совсем не блестят как раньше. Что можно сделать, чтобы вернуть им глянцевый блеск? Какими средствами для этого пользуетесь? И хотелось бы что-то более натуральное, а не химические препараты.

",Beauty,
"
Бьянка-Янка","
Опубликовано: 8 июн 2016
","

	Я периодически делаю маски из масел. В основном из репейного. Главное корни не мазать, а то волос быстро жирниться. Ещё хорошие маски для блеска на основе коньяка, яиц и мёда. Но придётся подождать, чтобы результат стал заметен, нужно несколько раз маску сделать. 

",Beauty,
"
Наталия Демина","
Опубликовано: 8 июн 2016
","

	Слышал для этого мои подруги покупают витамины в аптеках обычных 

",Beauty,
"
MariAnt","
Опубликовано: 8 июн 2016
","

	Я мою голову с кокосовым маслов, добавляю в шампунь немного. Не знаю как на блеск, но на общее состоянии волос очень влияет.

",Beauty,
"
Talita","
Опубликовано: 8 июн 2016
","

	Я делала ламинирование в домашних условиях. Волосы стали более блестящими. Так что можете попробовать. 

",Beauty,
"
Елизавета","
Опубликовано: 8 июн 2016
","

	идеально волосы восстанавливает кокосовое масло, даже если они у вас осветлённые! нанесите масло на волосы на ночь, можно полиэтиленовую шапочку надеть, я же просто убираю волосы в пучок, а на подушку кладу полотенце, с утра всё смываю. 2-3 процедуры и увидите результат))

",Beauty,
"
Larina","
Опубликовано: 28 апр 2018
","

	У меня шампунь волосы блестящими делает)) шампунь-кондиционер с коллагеном и ланолином )) (хорс форс) 

",Beauty,
"
Tosya","
Опубликовано: 29 июн 2018
","

	Может мне кажется, но когда я пью рыбий жир (омегу) и правильно питаюсь + пью ферменты и желчегонные таблетосы у меня волосы как-то и блестят и выглядят лучше. И еще в это время (когда я все это пропиваю) вылезает много новых коротеньких волос, так даже объёма на голове прибавляется.)

",Beauty,
"
womanSveta","
Опубликовано: 29 июн 2018
","
	Думаю, не кажется. 
",Beauty,"

			Может мне кажется, но когда я пью рыбий жир (омегу) и правильно питаюсь + пью ферменты и желчегонные таблетосы у меня волосы как-то и блестят и выглядят лучше. И еще в это время (когда я все это пропиваю) вылезает много новых коротеньких волос, так даже объёма на голове прибавляется.)
		
"
"
Ольга 77","
Опубликовано: 30 июн 2018
","

	Хорошо помогает вьетнамское кокосовое масло, волосы становятся упругими и блестящими.

",Beauty,
"
Tosya","
Опубликовано: 30 июн 2018
","
	Его на волосы или внутрь?))
",Beauty,"

			Хорошо помогает вьетнамское кокосовое масло, волосы становятся упругими и блестящими.
		
"
"
Ольга 77","
Опубликовано: 5 июл 2018
","

	Обрабатывать волосы дважды в неделю или до мытья волос (нанести, потом под пленкой подержать и смыть) или использовать как бальзам, после мытья головы (нанести на волосы, подержать 5-10 минут и смыть).

",Beauty,
"
ritell","
Опубликовано: 22 янв 2019
","

	Девочки, что вам помогло от выпадения волос? Пьете ли вы витамины? С чего у вас началось выпадение?

",Beauty,
"
Marikio","
Опубликовано: 14 фев 2019
","

	Добрый день! Я использовала разные методы - от витаминов до ""чудо""-шампуней, лосьнов и масок. Все бесполезно. Затем перешла на миноксидил - единственное средство, которое имеет доказанное действие. Ситуация заметно улучшилась, волосы стали более крепкими, появилась мнимая густота. Мнимая потому, что миноксидил не будит спящие луковицы, как принято считать, а укрепляет те, что функционируют. Как бы там ни было, это средство могу рекомендовать.

",Beauty,
"
ritell","
Опубликовано: 15 фев 2019
","

	Я слышала что от миноксидила волосы выпадают сильнее после отмены


	а все время на нём же не просидишь

",Beauty,
"
ТаисияА","
Опубликовано: 19 фев 2019
","

	Самая частая причина выпадения волос – это нехватка витаминов. Поэтому пропиваю курс хороших витаминов для волос в зимних период. Мои волосы за это благодарны и выглядят здоровыми. Отдаю предпочтение витаминам Трихокомплекс от Филипа Кингсли.

",Beauty,
"
kusssik","
Опубликовано: 19 фев 2019
","

	Насчет витаминов - в самую точку. Пока не урегулируешь процесс изнутри, никакие бальзамы и маски для волос не помогут. Есть хороший витаминный комплекс для волос от DHC, это японский производитель. Я вообще товары для здоровья, витамины и прочее предпочитаю японские. Качество в разы лучше того, что в наших аптеках.

",Beauty,
"
Tanya Filimonova","
Опубликовано: 31 мар 2019
","

	у меня очень часто выпадали, обычно я мало что предпринимала, витамины пила инозит в аптеке брала и еще какие-то тоже группы В, по весне немного улучшало состояние, а так не особо. Этой осенью взяла первый раз маску от выпадения от лошадиной силы ультра укрепляющую из проф.серии, рада безумно, первый год когда волосы не лезут практически (5-8 волосков в день и то после рассчесывания)

",Beauty,
"
Ласковая","
Опубликовано: 1 сен 2016
","

	Лучше остальных витаминов восстанавливает иммунитет и поддерживает работу сердца и кровеносных сосудов. Стимулирует деятельность всех органов, особенно кожи, способствует нормальному росту волос. 


	Можно принимать в таблетках, а можно и в ампулах - добавлять по 1 ампуле в маски именно для кожи головы.


	Основные источники фолиевой кислоты: бобовые, салат, шпинат, капуста, зеленый лук, зеленый горошек, фасоль, соя, свекла, морковь, томаты, мука грубого помола и хлебобулочные изделия из этой муки, гречневая и овсяная крупы, пшено, дрожжи. Из продуктов животного происхождения богаты фолиевой кислотой печень, почки, творог, сыр, икра, яичный желток.

",Beauty,
"
Джули","
Опубликовано: 2 сен 2016
","

	спасибо за ценную информацию. я знала, что фолиевая кислота очень полезна, ее беременным приписывают. но вот на счет роста волос - впервые слышу. надо попробовать, а то у меня обламываются у корней и медленно растут((

",Beauty,
"
pkrymskaya","
Опубликовано: 12 сен 2016
","

	а при приеме внутрь будет эффект?

",Beauty,
"
Мариам","
Опубликовано: 12 сен 2016
","

	Думаю что да.

",Beauty,
"
rita777","
Опубликовано: 26 сен 2016
","

	Вполне согласна с мнением автора поста, при беременности пила фолиевую и волосы стали меньше выпадать и стали блестящими. Попробую, спасибо за совет.

",Beauty,
"
Augustina","
Опубликовано: 27 сен 2016
","

	и я многого не знала) спасибочки) полезная инфа)

",Beauty,
"
Лиана","
Опубликовано: 13 апр 2016
","

	Интересно, а вы окрашиваете волосы? Если да, то по какой причине? Как часто вы проводите окрашивание и считаете ли вы, что корни не красиво и допустимо?

",Beauty,
"
poison","
Опубликовано: 14 апр 2016
","

	 


Иногда. Свой цвет не очень нравится. Окрашиваю оттеночным бальзамом или краской тон-в-тон. Корни не видно, когда начинают отрастать и цвет более яркий и живой. 
	 

",Beauty,
"
Анетт","
Опубликовано: 14 апр 2016
","

	Я уже давно не окрашиваю волосы полностью. Например сейчас у меня окрашивание омбре и оно не требует ежемесячного окрашивания. Для меня это лучший вариант.

",Beauty,
"
Latinka","
Опубликовано: 17 апр 2016
","

	Окрашиваю волосы каждый месяц, у меня наследственная седина, поэтому приходится  красится. В моем случае отросшие корни, явление не допустимое.

",Beauty,
"
Кактусик","
Опубликовано: 18 апр 2016
","

	Не крашусь и не планирую краситься, пока не поседею. Мне нравится мой цвет волос, а окрашенные - это же такая морока, каждый месяц подкрашивать, специальные шампуни... да и волосы портятся.

",Beauty,
"
Ingeborga81","
Опубликовано: 18 апр 2016
","

	Свой цвет - темно-русый. И если бы я не окрашивала - то они выглядят жутко сальными, если нанести лак... Такой цвет волос... Поэтому я либо крашу волосы, либо тонирую, либо осветляю. Обычно - Эстель. 

",Beauty,
"
alka30","
Опубликовано: 21 фев 2019
","
	чтоб не портить волосы, их лучше вообще не красить так часто. надо им давать отдых и, конечно, уход уход и только уход за ними.
",Beauty,"

			Крашусь в светлый, свой цвет темный. Крашусь давно уже, чтобы волосы не портить - стараюсь интенсивно ухаживать за ними, даже шампунь беру специальный для окрашенных и поврежденных от лошадиной силы 
		
"
"
anya.grishina.58","
Опубликовано: 21 фев 2019
","
	Та не правда! Я уже 10 лет как постоянно крашусь, а с волосами проблем никаких. Началось всё с обычного милирования, пробовала разные цвета, сейчас у меня пепельный цвет, притом что родные волосы русые. И всё-таки они гладкие, ровные, не ломкие...Так что тут скорее вопрос в том, какую краску подберёте и к какому мастеру обратитесь))
",Beauty,"

			чтоб не портить волосы, их лучше вообще не красить так часто. надо им давать отдых и, конечно, уход уход и только уход за ними.
		
"
"
alka30","
Опубликовано: 21 фев 2019
","
	да тут хоть амиачную, хоть безамиачную бери, результат один и тот же. и, по своему опыту скажу, что даже хороший бренд не влияет на результат. Краска только ложится более равномерно и меньше голова печёт, а в остальном разницы никакой(
",Beauty,"

			Та не правда! Я уже 10 лет как постоянно крашусь, а с волосами проблем никаких. Началось всё с обычного милирования, пробовала разные цвета, сейчас у меня пепельный цвет, притом что родные волосы русые. И всё-таки они гладкие, ровные, не ломкие...Так что тут скорее вопрос в том, какую краску подберёте и к какому мастеру обратитесь))
		
"
"
kirachka90","
Опубликовано: 22 фев 2019
","
	Так может вы просто пытаетесь выкраситься своими силами, когда этого в принципе делать не стоит?) Я уже неоднократно проверяла на себе. Если доверяешь кому-то покраску, то получаешь куда лучший результат, чем если красишься сама))
",Beauty,"

			да тут хоть амиачную, хоть безамиачную бери, результат один и тот же. и, по своему опыту скажу, что даже хороший бренд не влияет на результат. Краска только ложится более равномерно и меньше голова печёт, а в остальном разницы никакой(
		
"
"
alka30","
Опубликовано: 22 фев 2019
","
	пробовала и сама, и подруг просила, и маму уговаривала...результат один и тот же:(
	в салоны тоже обращалась, действительно разница есть, но она несущественная, а денег надо заплатить столько, будто вообще новые волосы покупаешь, а не просто красишься.
",Beauty,"

			Так может вы просто пытаетесь выкраситься своими силами, когда этого в принципе делать не стоит?) Я уже неоднократно проверяла на себе. Если доверяешь кому-то покраску, то получаешь куда лучший результат, чем если красишься сама))
		
"
