users,times,text,quote,topic
 Гость ," 22 апреля, 12:01 ",В другой теме вам психолога посоветовали если с техническими навыками вообще никак на психоанализ идите будет не паханное поле потрясений и психотравм в нашей стране хватит на безбедную жизнь,,Education
 Автор ," 22 апреля, 10:00 ","Здравствуйте, хожу на подготовительные курсы в колледж. Изначально хотела поступать туда, но потом решила поступать в вуз. ЕГЭ уже сдала довольно-таки хорошо ( по 80 баллов), рисунок веду отлично, поэтому почему бы и не попробовать. Да и шансы поступить в тот вуз выше, чем в зазнавшийся колледж. Но речь не об этом.Занимаюсь подготовкой к вузу по пятницам и понедельникам, а в выходные подготовка при колледже. Так вот, В ПЯТНИЦУ все отлично, в СУББОТУ и ВОСКРЕСЕНЬЕ начинаю болеть ( то тошнит, то голова болит, иногда все и сразу, то простудилась температура,), как только наступает ПОНЕДЕЛЬНИК, я живенькая и здоровенькая!!Подскажите, что делать? Как заставить себя пойти на занятия по выходным? (деньги за курсы отданы, они не возвращают)",,Education
 Гость ," 23 апреля, 13:31 ","Не засиживаться в пятницуС утра, особенно в пятницу выходить на солнцеВ душе перед тем как выходить пару минут под холодной водой стоятьСтараться в интернете сидеть с компьютера а не с телефона(удалить браузер на телефоне)Не делать подготовительных ритуалов перед тем как ехать на занятия или заниматься т е не пить кофе и не есть шоколадки не включать музыку так же не делать после. Когда учитесь можно ништяки есть во время занятий а не до и после",,Education
 Гость ," 23 апреля, 13:32 ",Ну и если возможно с пятницы на четверг сдвиньте подготовку чтобы были интенсивные дни и менее интенсивныеЕщё маску для сна купите если срубает то спите,,Education
 А ," 22 апреля, 09:24 ","Не сдала экзамен в гаи, вождение. Очень сильно растерялась, что даже не смогла тронуться, все время глохла. Очень стыдно",,Education
 Гость ," 22 апреля, 09:57 ","Спасибо, что держишь в курсе.",,Education
 Гость ," 22 апреля, 10:04 ",Может тогда и не стоит водить? Вы целее будете да и остальные тоже,,Education
 Гость ," 22 апреля, 10:06 ","Ничего страшного. Может переволновались. Когда я училась, некоторые тоже сдавали экзамены не с первого раза. Ничего, сдали позже. Значит было мало практики по городу у Вас. Нанимайте инструктора и учитесь ездить по городу с ним.",,Education
 Шокотерапия😈 ," 22 апреля, 10:35 ","ЗабейКогда нибудь сдашьМногие пишут что мол вот раз не можешь сдать то и ездить тебе нельзяНо никто не учитывает тот факт что учишься ты на одной машине, чаще всего иномарке, а сдаешь на убитой ПриореОпять же на разных машинах разные точки сцепления, поэтому глохнешьНе переживай. Этот экзамен просто формальность. Когда выйдешь уже на большую дорогу начнется настоящее обучение и очень много дебиков ездят как хотят. Главное выучи теорию и тогда тебе легче будет, а с практикой все придет",,Education
 Гость ," 22 апреля, 12:23 ","Мне рассказывали про случай, когда женщина сдавала, кажется, раз 25, и таки сдала! Пенсионерка, ей на дачку ездить надо было, билась, билась и добилась! Сдадите в своё время, главное, не бросать, а то потом с нуля надо будет начинать.",,Education
 Автор ," 22 апреля, 05:23 ","Сдал промежуточную аттестацию в вечерней школе все 10 предметов на 3 но всплыл один интересный момент сдал я промежутку за 7 класс а задание начали давать за 9 класс тобишь образец ОГЭ, возьмут ли в вечернюю школу в 8 класс (учился в школе 8 вида) имеют ли право отказать и если откажут то куда обраться со слов местного депортамента образования минимальный бал оценка 3?! #образование",,Education
 Логопедик ," 21 апреля, 20:33 ","ЛОГОПЕДЫ Здравствуйте!Подскажите, пожалуйста, кто учился на логопеда в Санкт-Петербурге? Очень нужно ваше мнение. Я собираюсь переводиться. Но отзывы, конечно, хотелось бы услышать честные. Может есть кто учился в РГПУ? Как вам?Или в каком вы учились? #образование",,Education
 Киноман ," 21 апреля, 18:30 ","Здравствуйте. Хочу поступать на ""Гостиничное дело"". Подскажите, пожалуйста, у кого был опыт в этой сфере. Возможно ли путешествовать с этой специальностью ? На туризм не хочеться, тк в гост. деле можно получить больший карьерный рост, но душа лежит к путешествиям. Понимаю, что ничего не мешает устроиться за границу, но все же хотелось бы услышать Ваше мнение",,Education
 Cвета ," 21 апреля, 18:41 ","""Понимаю, что ничего не мешает устроиться за границу""Да? Какой вы, однако, оптимист, кхе-кхе...",,Education
 Гость ," 21 апреля, 19:10 ","У Павла Гительмана (блоггер) есть ряд видео о Дубае. Вот он там спрашивал русскоязычных сотрудников отелей из Дубая. Они без опыта устроились работать в отели ОАЭ. По-моему, ни у кого не было профильного образования даже. Те отели приветствовали русскоязычных с европейской внешностью (да, это нехорошо звучит, конечно. Но «белые» сотрудники там ценятся…)Очень много русскоязычных туристов в Дубае и Абу-Даби и там все ещё идёт активная застройка новых апартаментов и отелей. И им нужны сотрудники. Найдите его видео в интернете. Он там даже показал сайты с вакансиями из проверенных отелей Дубая. И уже работающие там сострудники сказала, что, если на все вакансии откликаться, то куда-то тебя 10000% возьмут куда-то",,Education
 Гость ," 21 апреля, 19:26 ","Гостиничное дело, туризм и очень многие другие специальности в колледже(а вы видимо в колледж только идете, если вообще подобное рассматриваете) это специальности для тех, кто не знает куда хочет податься. Выбирайте что угодно, оно все вам одинаково не пригодиться. Но если вы на высшее идете, то к чему такой выбор вообще? Пустая трата времени. Лучше не пойти никуда вовсе, чем пойти куда попало.",,Education
 Киноман ," 21 апреля, 19:58 ","Нет, собираюсь в ВУЗ. Показалось интересной специальностью 🤷‍♀️","Гостиничное дело, туризм и очень многие другие специальности в колледже(а вы видимо в колледж только идете, если вообще подобное рассматриваете) это специальности для тех, кто не знает куда хочет податься. Выбирайте что угодно, оно все вам одинаково не пригодиться. Но если вы на высшее идете, то к чему такой выбор вообще? Пустая трата времени. Лучше не пойти никуда вовсе, чем пойти куда попало.",Education
 Автор ," 21 апреля, 15:13 ","Как считаете, что выгоднее платить за обучение, но за хорошую специальность (юрист, экономист, инженер, бухгалтер), не беру врачей. Или учиться на бюджете, но на малоперспективную и не очень оплачиваемую специальность (психолог, специалист по соц.работе, какой - нибудь учитель начальных классов), чисто ради вышки, но отложенные деньги пойдут на первый взнос за квартиру? Я выбрала 2 вариант и пошла учится на психолога после колледжа, сейчас немного жалею. Все таки профессия на всю жизнь, а платить оставшуюся часть денег за квартиру без хорошей профессии не очень получается, работаю медсестрой, но хочу уйти в другую сферу по вышке,правда не знаю куда, везде требуют, как мне кажется, юридическую или экономическую вышку. А чтобы выбрали вы? #обучение",,Education
 Мурка Кошкина ," 21 апреля, 15:22 ",в идеале выбирают по способностям,,Education
 Xiii ," 21 апреля, 15:24 ","Отучилась 5 лет на эк.факультете,получила диплом, ну ок здорово. Полгода искала работу, в итоге вернулась в универ, в деканате объяснила что и как, есть ли у них вакансии по моей специальности? Дали работу, работала 3 года, зп была минимальная, набравшись опыта, могла устроиться на норм работу, потому что без опыта работы никто не брал. В данном вопросе как повезёт, найдёшь ты по специальности сразу здорово.",,Education
 LN ," 21 апреля, 15:25 ",Была уже эта тема!,,Education
 Гость ," 21 апреля, 15:26 ","Считаю, что лучше платно, но туда к чему душа лежит. Все-таки учиться несколько лет. Чтоб не было столько лет потрачено зря",,Education
 Гость ," 21 апреля, 15:26 ",понятие хорошая специальность вещь сама в себе... по массе бюджетных специальностей вполне есть спрос не говоря уж о том что всякие юристы и экономисты вполне могут прозябать ибо их переизбыток... поинтересуйтесь спросом на рынке труда и зп....получайте высшее на бюджете и идите работать а там видно будет. вторую вышку тоже можно получить если что...,,Education
 Автор ," 20 апреля, 16:36 ","Что нужно для того чтобы стать телеведущим, актером? Где учиться? Как пробиться? Есть среднее музыкальное образование.",,Education
 Истрате ," 20 апреля, 17:50 ","Есть специальные ВУЗы, есть курсы, на крайний случай. Все зависит от того, где вы живете, есть ли в вашем городе такие ВУЗы. Пока будете учиться, можете погуглить разные кастинги для массовок - потихоньку вливаться, прочувствовать атмосферу. Без обучения получится только в 2х случаях - если у вас есть ""волосатая лапа"", которая вас протолкнет в актеры (по простому - блат), или же если у вас реально потрясающий талант. Но во втором случае есть риск, что вас все равно не заметят.",,Education
 Гость ," 20 апреля, 19:42 ","Если живете в Москве или в городе- миллионике, то можете сниматься в массовке в телепередачах или сериалах. Есть специальные сайты, форумы, где объявления, ищут людей определенного типажа, возраста. Если повезет, то и станете участником реалити. А там потихоньку, через роли в массовке, передачах по телику может и примелькаетесь, понравитесь кому-то из режиссеров, продюссеров. Вроде в РФ есть актеры без актерского образования совсем. А у журналистов,так тем более, частенько бывает ситуация, что диплом не по специальности.",,Education
 Автор ," 20 апреля, 15:56 ","Кто-нибудь знает куда можно пойти после музыкального колледжа, хотела бы рассмотреть высшее образование дизайн, театральное искусство. Возьмут ли? Какие ещё профессии будут доступны?",,Education
 Лира ," 20 апреля, 16:20 ",Куда угодно.,,Education
 Лира ," 20 апреля, 16:20 ",А почему высшее музыкальное не планируете?,,Education
 Гость ," 20 апреля, 16:22 ","это есть тоже в планах, но хотелось бы узнать ещё варианты",А почему высшее музыкальное не планируете?,Education
 Гость ," 20 апреля, 16:24 ","Всё доступно. Высшее образование можно получать, имея среднее на уровне законченных 11 классов. Ваш диплом колледжа включает этот уровень - это все те общие школьные предметы, которые у вас были в колледже. Которые были в 10 и 11 классах обычной школы. Как обычные выпускники 11 классов могут поступать куда угодно, так и вы.",,Education
 Гость ," 20 апреля, 16:24 ",Кем после него работать?,А почему высшее музыкальное не планируете?,Education
 Сирень ," 20 апреля, 15:13 ","Дали чеки за обучение и сказали , что можем вернуть 13%. Вот теперь вопрос , что для этого нужно мне , как студентке ? Мне 19 лет. Мне нужно взять что-то с месту обучения еще ? Идти в налоговую ? Просто работает только папа , а у папы времени на это не будет 🤔",,Education
 HaVa ," 20 апреля, 15:23 ","Налоговый вычет может оформить только официально работающий человек, если договор оформлен на отца и он официально трудоустроен, то только он и может оформить. Вы к сожалению никак",,Education
 HaVa ," 20 апреля, 15:27 ","Ему нужно взять на работе справку 2 НДФЛ, чеки за оплату обучения, копию договора с учебным учреждением, самим составить и оформить справку 3 НДФЛ, взять в банке реквизиты банковского счета в печатном виде и копию паспорта С этими доками в налоговую",,Education
 Милена ," 20 апреля, 15:30 ",Ещё лицензии с учебного заведения и справку,"Ему нужно взять на работе справку 2 НДФЛ, чеки за оплату обучения, копию договора с учебным учреждением, самим составить и оформить справку 3 НДФЛ, взять в банке реквизиты банковского счета в печатном виде и копию паспорта С этими доками в налоговую",Education
 Елена ," 20 апреля, 15:30 ","До 1 мая сделать две вещи:1. Подать декларацию о доходах (на сайте ndfl.ru)2. Выложить пакет документов по обучению: договор, лицензию на образование, платежные документы и т.п. Это если обучение было в 2022м.",,Education
 Милена ," 20 апреля, 15:30 ",Ещё можно подать через госуслуги.,"Ему нужно взять на работе справку 2 НДФЛ, чеки за оплату обучения, копию договора с учебным учреждением, самим составить и оформить справку 3 НДФЛ, взять в банке реквизиты банковского счета в печатном виде и копию паспорта С этими доками в налоговую",Education
 Автор ," 20 апреля, 10:30 ","Сейчас куда ни глянь, куда ни кинь глазом школьники используют заимствованные слова ""кринж"", ""рофл"", ""треш"". Да, это молодежно, прикольно, но почему же мы - российский народ, не используем свои исконно-русские слова? кринж - стыдно; рофл - смешно; треш - безумное происшествие. Мой ребенок постоянно разговаривает со мной непонятными фразами, я не против этого - познание других языков, но почему же именно посредством англицизмов?",,Education
 Ирина Костоглодова ," 20 апреля, 14:13 ","Здравствуйте! Этим вопросом задавались еще классики, Пушкина тоже волновал вопрос чистоты русского языка, как видите, мы всё еще разговариваем на нём.Жаргон - это способ обозначить, к какой социальной группе относится человек. Характерно для подростков, молодёжи и профессиональных групп. Вы тоже были подростков и тоже наверное употребляли разные словечки, как и ваши сверстники. Сейчас вы их вряд ли употребляете.Если вам непонятно, что говорит ребёнок, так и скажите ему. Дорогой мой, пожалуйста, говори со мной без этих слов, потому что я их не понимаю и мне так не комфортно. Главное, не запрещать, запретный плод сладок, как известно.",,Education
 Гость ," 20 апреля, 14:10 ",Дети таким образом хотят казаться современными и главное - отличающимися от поколения родителей. Это групповой эффект.,,Education
 Гость ," 20 апреля, 14:13 ","И это нормально, язык живой значит",,Education
 Гость ," 20 апреля, 14:31 ","Может на фене начнём говорить? Чтоы уж совсем отличятся и от родителей, и от прочих ""чуханов"".","И это нормально, язык живой значит",Education
 Гость ," 20 апреля, 14:32 ","Слово трэш уже давно используется, например. У меня тоже ребенок подросток. А когда я был в его возрасте, я действительно не использовал слов кринж и рофл, т.к. не знал их, но слово трэш я использовал очень часто. С 90х это слово уже вовсю используется. Вы где были все эти годы?",,Education
 Алевтина ," 20 апреля, 01:38 ","наконец-то решила зарегистрироваться, много разных тем здесь интересных...хотела б о наболевшем,я получаю первое высшее в 28 лет заочно через год в следующем году,мне очень стыдно,очень,я чувствую себя лохом,что так поздно получаю диплом( бухгалтерский учёт),хотязаканчиваю так не по каой-то серьезной причине (дети,например),а потому что лентяйничала в молодые годы (((((((((((",,Education
 Захария ," 20 апреля, 07:10 ","я вот спокойно к этому отношусьможет, потому что рядом такие естьмуж мой лет в 30 получил образование, до этого не знал зачем и какоесын тоже раньше 28 не получит, ушел после первых двух курсов не нужного ему, пауза потомплемянник третий раз переводится с потерей курса и т.д.Что вы делали стыдного, когда не учились? Вот если делали стыдное, то за это может быть как то стыдно, хотя тоже все это условноА просто лень? Подумаешь..",,Education
 Чушка ," 20 апреля, 07:13 ","Почему стыдно? Причина? Это твоя жизнь, твой выбор. Ты не обязана жить твою жизнь по примеру других.",,Education
 Гость ," 20 апреля, 07:15 ","Вот вы загоняетесь, автор 😆",,Education
 Гость ," 20 апреля, 07:20 ","ко мне после 30 приходили муж ло, и это еще года 2008 и около того, и гордились еще, они были на первом-втором курсе с моими предметами, приходили покупали контрольные. Наглючие и гордые. хамло, сами переписывали с ошибками, им на это указывали, то в чертеже накосячат, потом им преподватель это обводил, я им говорю проверьте, как у меня было, им ЛЕНЬ, они свои же ошибки мне приносили, уроды, а вы уже закончили в 28, это нормально. Полно учились у меня приходили после 40, зачем им это, якобы зп выше будет, ну ну",,Education
 Гость ," 20 апреля, 08:52 ",Моя мама закончила учиться в 42 года. И очень быстро сделала карьеру.,,Education
 Автор ," 19 апреля, 19:46 ","ДЕВОЧКИ, Я В УЖАСЕ ! В ОБЩЕМ, ПОСТУПИЛА В КОЛЛЕДЖ В 17 лет на заочную форму обучения! На менеджера по продажам! УЧИТЬСЯ ГРЕБАННЫХ 3 года 10 мес! Я в ужасе! Сейчас приняла решение, что после лета уезжаю учится в другое учебное заведение! ПОЧЕМУ Я ПОШЛА В КОЛЛЕДЖ В 17 лет?? Я ДУРА РАБОТАЛА! Я НАКОПИЛА 700.000р и отдала их маме за первоначальный взнос по ипотеке за свою же квартиру , она моя эта квартира !!! ВОТ И МНЕ СТРЕМНО СЕЙЧАС ИДТИ УЧИТЬСЯ БУДУЧИ СТАРОЙ ТЕТКОЙ В КОЛЛЕДЖ В МЕДИЦИНСКИЙ ! Буду учиться с малолетками 16 лет! Что делать??? Не стремно ли??? #образование",,Education
 Ливия ," 19 апреля, 19:56 ",Учится никогда не поздно.. правда вы выбрали не особо оплачиваемую работу.. подумайте какие перспективы,,Education
" Я умнее, мне виднее "," 19 апреля, 20:04 ","Так ты же тоже малолетка, аллё. Шуруй в колледж и не выёживайся",,Education
 Гость ," 19 апреля, 22:19 ","Я чувствую себя старой!! Да, все говорят что я малолетка !!","Так ты же тоже малолетка, аллё. Шуруй в колледж и не выёживайся",Education
 Гость ," 19 апреля, 22:21 ",Я автор. Мне 18 лет если что.,,Education
 lina.glazurina ," 19 апреля, 12:00 ","Добрый день, интересует онлайн-формат образования. Дочь часто болеет, сидит дома, соответственно большую часть времени пропускает занятия в школе, нагнать плохо получается.У кого был опыт?",,Education
 Гость ," 19 апреля, 12:16 ",Куда ты себе засунешь чужой опыт?,,Education
 Гость ," 19 апреля, 12:49 ","Если есть возможность,лучше нанять репетитора.Онлайн не всем подходит. Я репетитор и есть дети,кому он подходит, а есть кому нет. Онлайн шкооы не всегда нанимают компетентный учителей, чаще это студенты или люди других профессий. Лучше уж студентку старших курсов найти в очном формате,чем онлайн. Очно дороже, но спросить будет с кого ну, либо идти онлайн, но к репетитору, не к онлайн школе.",,Education
 karina.zhdanova.90 ," 19 апреля, 18:14 ","Тут кому как, нужно еще учитывать программу, где будете обучаться.",,Education
 nalbinskaya ," 19 апреля, 20:50 ","Мы перевели сына в Ланцман Скул на онлайн-формат. Можно сказать, те же уроки, что и в школе, только дистанционно. Не жалуемся, даже по физике оценки подтянул, в обычной школе вечно с этим проблема была.",,Education
 lina.glazurina ," 19 апреля, 21:06 ","Благодарю, нужно будет посмотреть у них. А обратная связь с родителями есть? Домашние задания, дневник?","Мы перевели сына в Ланцман Скул на онлайн-формат. Можно сказать, те же уроки, что и в школе, только дистанционно. Не жалуемся, даже по физике оценки подтянул, в обычной школе вечно с этим проблема была.",Education
 Полина ," 19 апреля, 10:00 ","Насколько реально поступить на бюджет на бизнес-информатику в МСИС? Посмотрела по сайту, там же бюджетных мест просто кот наплакал. А как с потоком?",,Education
 kriko ," 19 апреля, 10:12 ","Зависит от Ваших баллов. Можно на всякий случай выбрать направления с большим количеством мест, либо это же направление в других учебных заведениях. Смотря сколько мест ещё, если 100, то шансы конечно есть с хорошими баллами, а если штук 20, их, скорее всего, займут люди у которых по 290-300 баллов",,Education
 Гость ," 19 апреля, 11:25 ",На хлебозавод легко поступить говорят!!,,Education
 Гость ," 20 апреля, 10:18 ","Я так думаю, что при определенном числе баллов по ЕГЭ можно поступить хоть куда. А вот какое это будет число, никто не знает. И год на год нге приходится. МИСИС вообще-то весьма крутой вуз, с репутацией, не думаю, что там маленький наплыв кандидатов на бюджет.",,Education
 kriko ," 20 апреля, 10:38 ","Даже если 100 по всем предметам набрать, могут быть олимпиадники с доп. баллами","Я так думаю, что при определенном числе баллов по ЕГЭ можно поступить хоть куда. А вот какое это будет число, никто не знает. И год на год нге приходится. МИСИС вообще-то весьма крутой вуз, с репутацией, не думаю, что там маленький наплыв кандидатов на бюджет.",Education
 Эля ," 21 апреля, 09:16 ","Чего сразу пугать-то? Маленький или большой, все от года зависит. От ситуации. Автор, Вас пугает 19 бюджетных мест? Так не пугайтесь. Главное, чтобы сдали ЕГЭ нормально. Ну, и нужно было бы, конечно, на мероприятия походить, МИСИС же со школьниками очень активно работает.",,Education
 Le ," 19 апреля, 09:45 ","Может быть, кто-то вспомнит проходные на Экономику в МИСИС на много выросли по сравнению с 2021?",,Education
 Сабина ," 20 апреля, 09:14 ","Экономика в МИСИС? Давно? Скорее всего ошиблись. Или она совсем недавнее направление, тогда нет смысла сравнивать.",,Education
 анонимно ," 20 апреля, 10:17 ","Есть-есть. И давно). МИСИС вообще каждый год прибавляет направления, столько новых каждый год, плюс профили - вообще с ума сойти. У меня этой осенью сын поступил, так пока документы отправлял, 4 раза поменял направление. ЧЕТЫРЕ!!! Все так хочется, все так интересно. И я думаю, что не конец еще, посмотрим, что будет перед третьим курсом, когда профили окончательно упорядочить надо бужет.",,Education
 Сабина ," 21 апреля, 09:10 ","Ничего себе. Я сама оттуда, только окончила в 2017. Так что слегка удивилась. А так-то да. В МИСИС нормально учат. И дипломы скажем так - имидж имеют правильный. Без работы не засидишься.","Есть-есть. И давно). МИСИС вообще каждый год прибавляет направления, столько новых каждый год, плюс профили - вообще с ума сойти. У меня этой осенью сын поступил, так пока документы отправлял, 4 раза поменял направление. ЧЕТЫРЕ!!! Все так хочется, все так интересно. И я думаю, что не конец еще, посмотрим, что будет перед третьим курсом, когда профили окончательно упорядочить надо бужет.",Education
 Автор ," 18 апреля, 20:24 ","Кем быть после 9 класса,если красиво рисуешь и есть худ. Образование?",,Education
 Гость ," 18 апреля, 20:49 ",Компьютерную графику изучайте. И английский,,Education
 Гость ," 18 апреля, 21:49 ","Не сидеть на этом форуме, прежде всего.",,Education
 Автор ," 18 апреля, 11:06 ","8 лет учиться. Или на др профессию, которую получают очень долго? Лет 10-15Если бы у вас была такая мечта. И нет, богатого мужа содержателя не было, самой нужно было бы думать как совмещать с работой, чтобы кормить себя пока вы учитесь. #образование",,Education
 Мрр ;) ," 18 апреля, 11:26 ","я бы дела все то, что приносит мне счастье",,Education
 Гость ," 18 апреля, 11:30 ","Да, но пока ограничилась фельдшером мне 28 лет и уже хочется по быстрее зарабатывать самой, сейчас пока родители помогают, но по своей специальности никуда не берут у меня педагогическое образованиеРодители медики сами и у них в медиуину всегда требуются и зп даже у тех у кого опыта нет хорошая, мне уже немного доучиться осталось",,Education
 Мрр ;) ," 18 апреля, 11:34 ",из бюджентников в бюджетники? сильно.,"Да, но пока ограничилась фельдшером мне 28 лет и уже хочется по быстрее зарабатывать самой, сейчас пока родители помогают, но по своей специальности никуда не берут у меня педагогическое образованиеРодители медики сами и у них в медиуину всегда требуются и зп даже у тех у кого опыта нет хорошая, мне уже немного доучиться осталось",Education
 Kvarz ," 18 апреля, 11:35 ","Если мечта, то да, 30 не так поздно. И медицина - та сфера где хоть до 90 можно работать если голова ясная, это в офисах эйджизм процветает.",,Education
 Гость ," 18 апреля, 11:37 ","В бюджетниках я еще и поработать не успела, в школы не берут тк нет опыта работы учителем, работала в коммерческих фирмах, но там зп маленькая была я секретарем была, и постояннл сваливали не свою работу, зп была 20 тысяч, мне это надоелоУ фельдшеров зп на скорой уж поболее будет и график удобный, сутки троеРодители медики им нравится 30 с лишним лет в медицине",из бюджентников в бюджетники? сильно.,Education
 Автор ," 18 апреля, 11:06 ","Сегодня третье занятие, (по 2 в неделю) и откровенно говоря, я совсем не уделяла самостоятельное время для изучения, то одна проблема, то ещё что. Сама думаю, а ведь это отговорка, при сильном желании можно и ночью учить. Так вот, переживаю по поводу того, что до сих пор не запомнила даже часть азбуки. Пытаюсь первую 20-ку натренировать. Как вы учили? Больше стыдно перед репетитором. Хотя, казалось бы, ему все равно, это меня должно было волновать, как быстро я выучу.",,Education
 Й ," 18 апреля, 11:27 ","Ониме смотри, быстро выучишь.А если хентай какой нибудь, то еще и процесс обучения булет приятным 😏",,Education
 Гость ," 18 апреля, 14:05 ","Самый простой способ, это открыть слова написанные хираганой и пытаться их читать, забыл слог - открываешь смотришь и так много много слов, потом наоборот читаешь слово - и записываешь его хираганой. Те слога которые часто забываешь, ищешь слова с ними. Учить сухую азбуку - очень сложно. У мозга нет ассоциации. Лучше учить слово и разбирать из чего оно состоит, как произносится и как записывается. Берите разные слова, чтобы пройтись по слогам всей азбуки.",,Education
 Автор ," 18 апреля, 09:10 ","Я учусь в первом курсе в начале я училось в платном а сейчас на гранте в другой университете.И мне очень сложно пойти в университет и не хочется, учиться и общаться мне сложно , стоит ли увольняться из университета, я скорее всего хочу заниматься бизнесом , не знаю еще как доставлять мысли ну ваше советы важно🥹",,Education
 Гость ," 18 апреля, 09:23 ",Те нафиг ничьи советы не нужны. Ты уже выбрала себе путь инфантильной дуры. Ну дык сиди в этой жоппппе. А форум не причем.,,Education
 Катерина ," 17 апреля, 18:49 ","Здравствуйте, где можно отучиться в 28 лет на маркетолога? Интересует СПб",,Education
 Люций ," 17 апреля, 20:40 ",В институте можно. Можно на Ютубе. Где больше нравится,,Education
 Гость ," 17 апреля, 20:54 ",В любой шараге.Но только это бесполезное образование.Вон в темке про должны ли родители помочь с квартирой баба с дипломом маркетолога наращивает реснички😁,,Education
 Катерина ," 17 апреля, 23:58 ",Почему бесполезное?,В любой шараге.Но только это бесполезное образование.Вон в темке про должны ли родители помочь с квартирой баба с дипломом маркетолога наращивает реснички😁,Education
 Невооруженная лань ," 17 апреля, 15:47 ","Мне 20 лет, я студентка 4 курса.С самого 1 курса заметила, что одна преподавательница относится ко мне максимально предвзято.Она вмешивается в мое личное пространство.Я ей принесла договор на производственную практику , на что она 30 минут обсуждала мои волосы, ибо я их покрасила.Ее слова:-Скоро выпадут!-Зачем в такой ужасный цвет?-Внимание привлекаешь, да?Сегодня вот сдавала отчёт после производственной практики , сделала объемный аж на 150 листов.Она начала чиркать прямо по фоличкам ручкой.Заявила, что половину даже читать не станет, ибо слишком много «воды».хотя я хотела сделать объёмный отчёт , ибо с прошлого раза она заявила , что отчёт слишком маленький.Она листала, придиралась к пробелам, точкам и так далее.Перед тем как сдавать отчёт, он у меня выпал с рук, все листы перемешались, и я старалась их снова собрать в папку по порядку (они не были пронумерованы, так что полчаса ушло на это)И она отказалась проверять, ибо я перепутала порядок двух страниц.И сказала: ты на что надеешься?Заявила: если до завтра не переделаешь весь отчёт, я тебя не аттестую на преддипломную практику.Хотя уже отношение и договор подписан, как так?!Я ей сказала, что физически это невозможно.Она заявила, что ей плевать, и я должна переделать и все.Хотя у меня одногруппницы похожий отчёт, но его приняли!Я настолько физически с практик устала, потратила полторы тысячи на распечатки, чтобы по итогу снова их потратить на уже переделанный отчёт, который до конца она отказалась проверять, даже когда я умоляла ее проверить и указать все ошибки..Что я могу сделать в такой ситуации?",,Education
