topic,quote,text,times,users
Family&Relationships,," Странное желание, провоцировать мужа на измену.",,
Family&Relationships,," Что за бред, зачем провоцировать измену? Умная женщина поймет, если мужик охладеет к ней и начнет изменять. Так что, умнейте, бабоньки, а не устраивайте мужику показ баб для потенциальной измены",,
Family&Relationships,, на ошибках учатся.. но на измену провоцировать точно не стоит),,
Family&Relationships,,"Здравствуйте форумчанки. У меня возникла проблемка,которую не получается решить.Помогите мне пожалуйста. Вобщем так.У меня был парень,Мы с ним встречались 2 года.последние 3 месяца я постоянно хотела с ним расстаться.Прошла любовь.За эти 3 месяца я познакомилась с одним МЧ.Он друг парня моей подруги.Я ему очень нравилась.Он мне тоже.Но так как у меня был парень я постоянно ему отказывала во всем.Приглашал в кино.Сказала ему нет,у меня парень есть,не могу.Хотел поцеловать-отказала.Вобщем.Он разведен,жена ему изменила.детей нет.И в тот день когда я решила расстаться со своим МЧ,я это сделала и поехала к подруге.Потом к нам присоединились парень моей подруги и ,естественно,он.Я не знала,что они придут.Но провели мы очень хорошее время.Потом он на машине отвез меня домой,спросил а мой парень не против,что я с другим МЧ так близко общаюсь,на что я запуталась и ответила,что я с ним в ссоре.Не сказала,что расстались.Не знаю почему.Потом он меня поцеловал.Я его не оттолкнула.И пошла домой.После этого он стал игнорить меня.Я решила с ним встретиться,поговорить.На что он сказал,что хотел отношений,но уже не хочет.Причину не сказал.Сказал,что мы можем быть друзьями,любовниками.но не больше.На что я ответила,что я хочу с ним быть друзьями.он согласился.Но после этого стал пошло шутить,что никогда себе не позволял.Я не смогла в этот момент заткнуть его.Не понимала,что происходит.Потом МЧ моей подруги сказал ей,что он не хочет со мной серьезно так как разочаровался,Что я могу быть в ссоре с парнем,и не расставшись целоваться с другим.Сейчас я не знаю как себя вести.Я себя *** чувствую.Как дать ему понять,что я не такая девушка,что я хочу с ним серьезных отношений.Этим поцелуем он меня проверял получается.Я даже не знаю,как ему сказать,что я у же рассталась в тот день со своим МЧ.Думаю не поверит.Что делать?Как вернуть его чувства ко мне,если он разочаровался,не зная всех подробностей?!",,
Family&Relationships,," Делайте выводы, и больше не будьте столь доступной. И идите дальше. Главное чтобы урок усвоили)) Счастья Вам.",,
Family&Relationships,," Да ну блин, мне кажется, подозрительный типчик какой-то. Но действительно, надо делать выводы на будущее, и быть честнее с теми, кто тебе нравится.",,
Family&Relationships,,"здравствуйте！начну немного издалека. мне 28 лет, был брак, от брака остался ребенок, сейчас ей 5 лет. когда ей было 3, познакомилась с мужчиной, причем сразу поняла, что это мое！прямо родственную душу нашла, взгляды на жизнь, мнения, юмор, во всем понимание с обеих сторон, это меня и зацепило, влюбилась сразу, секс был замечательный, просто отношения небо и земля по сравнению с прошлыми. жил он в другом городе, общались, встречались мы чуть больше года, после чего решили жить вместе. год мы жили, ругались конечно, он очень ревнивый, ревновал просто даже без повода, но при этом мирились и любили друг друга и все было круто！да и прошли мы через многое, когда к нему переехали с ребенком, я полгода еще не работала, он тоже был период, что без работы, жили без денег, но все преодолели, это нас даже сплотило. потом потихоньку устроили ребенка в садик, я устроилась на работу, он тоже уже работал, вроде живи и радуйся, но начались проблемы... во первых, сидя дома, я прибиралась каждый день, варила первое, второе, третье, была прямо домохозяйкой, создавала уют. выйдя на работу, естественно, на дом у меня времени оставалось меньше. и вот случился период, когда я уже работала, а он уволился и был в поисках новой работы, так вот все, что он делал в это время, это возил ребенка по утрам в садик вместе со мной （садик неблизко от дома）, и забирал его сам （или со мной, если у меня был выходной）из садика и сидел с ней 2 часа, пока не привезет меня с работы, все！я приходила домой, прибиралась, варила пожрать, при этом он сидел и играл в танки целыми днями, не помогая мне по дому никак. когда я говорила, что мне не хватает его помощи, он отвечал, что и так много делает, а я не замечаю （что возит ребенка и меня на работу, еще в магазин возит меня）, в общем доходило до скандалов, мог помыть посуду после выноса мозга, пока я на работе и делать такой вид, что просто капец я его эксплуатирую уже！и это 2 раза в месяц в лучшем случае. потом он устроился на работу и теперь официально ничего по дому не делает （даже мужские обязанности, что то сломается, я ему говорю, он обещает, что сделает, но так это и стоит по сей день）, стали на этой почве ругаться. апогеем всего для меня стало то, что у нас не стало секса （1 раз в месяц）, хотя до этого было все отлично, я не бревно, давала ему разнообразие, не один вид секса у нас был, при том что с его стороны разнообразия не было, он меня тупо тыкал и все. но мне и этого хватало, мне было хорошо. когда его спрашиваю, почему так, он говорит, что из за пива, что как то просто нет желания. сейчас у нас на данный момент, если коротко, ситуация такая, я его пилю временами, что он мне не помогает （ну я реально устаю и работать, и по дому делать все от и до, он даже тарелку не убирает со стола за собой, просто ничего）, секс раз в месяц, он пьет практически каждый день пиво и лежит на диване или играет в танки в выходные или после работы. при этом у нас дружеские отношения, мы можем и поржать вместе и пива я могу с ним бахнуть иногда, разговоры до утра бывают. да и днем если у меня выходной мы общаемся, обсуждаем все, понимание есть, но только не в плане быта！он просто ничего не хочет делать. а вчера у нас случился конфликт, он напился и высказал мне, что я хреновая, не забочусь о нем, в тарелку ему еду не накладываю, пилю ему мозги и он меня просто тупо не хочет！раньше хотел, щас нет. влюби говорит меня снова в себя. утром как ни в чем не бывало обниматься лезет, шутит, как будто ниче и не было, а у меня ком в горле... руки опустились, я не могу через себя переступить и облизывать его от и до, пока он лежит на диване, чтобы он чувствовал заботу о себе. сижу щас реву и думаю, что это конец, но люблю его и пока чувствую, что не могу решиться взять и уйти, но что делать то？как наладить отношения？",,
Family&Relationships,," Добрый день!Если проблема еще актуальна, то предлагаю свою помощь в качестве психолога, коуча. Онлайн -консультация бесплатна, поскольку мне необходима сейчас просто практика для успешной сдачи сертификационного экзамена в Академии Коучинга.",,
Family&Relationships,," Добрый день. Мою личную жизнь спасло, что я вовремя наткнулась на такой сайт, как Чин женЧины. Я теперь его советую всем, и Вы, не пропускайте эту информацию мимо. Моя семья долго находилась на гране распада, и от этого я потеряла себя, и жила как растение, от рассвета до заката. Но свое спасение я нашла в такой женЧине как Алёна Полынь. Посмотрите её конференции, там много бесплатных, в них много полезных вещей! Да прибудет Мир в Ваш Дом!",,
Family&Relationships,," Пересмотрите отношение к себе. Мне лично в похожей ситуации помогли тренинги. Я себя полюбила изначально.А потмо еще и научилась всяким фишкам новым в постели. Со своим такое сотворила, что он мне и цветы без повода начал дарить и предложение сделал и по дому все помогать начал.",,
Family&Relationships,," Пересмотрите отношение к себе. Мне лично в похожей ситуации помогли тренинги сексРФ. Я себя полюбила изначально.А потмо еще и научилась всяким фишкам новым в постели. Со своим такое сотворила, что он мне и цветы без повода начал дарить и предложение сделал и по дому все помогать начал.",,
Family&Relationships,," Просто надо образовывать здравые отношения... У меня лет в 2 былпечальный опыт отношений, которые сгубила по незнанию психологических нюансов...Долго потом оправлялась, потому что человека очень любила, первая такая сильная любовь была. Потом начала психологию отношений изучать, в частности, очень помогла книга Манойло Оксаны ""5 секретов счастливых отношений"". Она все доступно и хорошо объясняет, очень много полезного для себя можно подчерпнуть.Я когда читала, у меня даже слезы на глаза наворачивались, насколько все это близко было к тому, что происходило в моей жизни... Книга нереально помогла. Сейчас мне 25 и ядва года замужем. Смужем живем душа в душу.",,
Family&Relationships,,"Все здравствуйте! У меня такая проблема: я полюбила парня (познакомилась в инсте), очень симпатичный.У него есть своя квартира, машина в общем очень обеспеченный!Мы с ним пару раз встречались, но я вижу, что у него не проявляются взаимные чуства ко мне(((Единственное, что я заметила, что он интересуется живописью (ван гоги, пикассо - остальных не помню)У него вся квартира в книгах о живописи.Хочу завести разговор о исскустве, найти общие темы. Больше понравится ему!Подскажите литературусайтыприложенияблогеров для быстрого изучения данной темы!!! У кого был опыт в быстром изучении темы?!Поделитесь советами.",,
Family&Relationships,," Очередная накрашенная дура хочет выглядеть по-умному. Вы думаете парень не раскусит вас в поверхностном изучении?Книги:Искусство. Для тех, кто хочет все успетьПолный курс рисования и живописиОт Мане до Ван Гога - самая человечная живописьСайтыАртонлайнРуПоищите в инете курсы Hisoy of A  he Uivesiy of Ofod (очень полезно)Приложения""Изучаем живопись"" - так и называется""Угадай Художника""""Известные картины""""Eploe Piig"" - приложение в игровой форме (возможно платное)А вообще автор, вы гуглом умеете пользоваться?",,
Family&Relationships,,"В наше время, познакомиться с мужчиной очень легко, но как покорить желаемого мужчину, чтобы он хотел проводить больше времени с тобой, выбирать тебя среди других девушек, пытаться узнать тебя лучше?Вот пять шагов, которые позволят вам привлечь внимание нужного вам мужчину.Проверено лично. Работает...Итак:Улыбайся чаще. Самое простое действие, про которое почему-то забывают многие девушки.Улыбка (не путать с громким смехом, который, людям не нравится) делает человека более красивым и счастливым.Мужчинам это нравится.Если девушка рядом с ним довольна, это говорит о том, что с ней все в порядке и у нее не будет с ней проблем. «Когда ты рядом со мной, я хочу улыбаться», люди тают, как лед.Используйте это.Выгляди ухоженной.Ухоженный внешний вид не означает яркий макияж и самую современную одежду из последних коллекций.Вот на что обращать внимание - чистые волосы, здоровая кожа, свежее дыхание, хороший маникюр, приятный запах - все это подсознательно заставляет мужчин думать, что если женщина следит за собой, она также будет следить за внешностью детей, желаемого мужчины.Для мужчин, которые имеют долгосрочные отношения, это очень важный показатель.Кроме того, для каждого мужчины приятно иметь рядом с собой женщину, ему не стыдно приглашать ее в ресторан, знакомить ее с друзьями и родственникам.Будь женщиной - загадкой.Женщина, про которую мужчина знает все на третий день знакомства, становится неинтересной.Вам не нужно «изливать» всю свою жизнь на нужного мужчину, просто покажите, что есть, что рассказать.Просто поговорите на актуальные темы, а про себя недоговаривать и просто говорить «Остальное, если хочешь, я расскажу тебе как-нибудь следующий раз».Таким образом, вы сохраните тайну и будете загадкой для него. Важно: каждый человек хочет общаться с теми, кто ему близок по интересам.Совет: «Мужчины хотят всего и сразу, и вы можете услышать «скажи cейчаc».Чтобы сохранить интригу, ответьте мягким отказом, на это может быть много причин: настроение не то, рассказывать долго, я настроен на другое и так далее. Заставьте его подождать.Будь занятой и интересующейся женщиной.Быть занятым означает иметь широкий круг общения и разные интересы.Сообщая некоторую информацию, вы случайно «распыляете» ее на свои интересы.Например, «Вчера после занятий в спортзале (бассейн, театр, курсы английского языка) ...» или «Я встретился на пикнике, в книжном магазине, на прогулке с собакой со своей знакомой, которая рассказала мне ...» или «вчера пока делаю торт (пицца ...) позвони мне и скажи ... "".Желаемый мужчина окажется непреднамеренно проинформирован о том, что вы занимаетесь в тренажерном зале, ходите на пикники, делаете отличную пиццу.Интересно !!!У этого подхода есть еще один огромный плюс: мужчины любят активных женщин.Совет.В идеале вы должны сочетать свои увлечения с желаниями желаемого мужчины.Вы можете сказать это, даже если вы вообще ничего об этом не знаете.Например выдуманный просто пример, он любит рыбалку.Вы смело говорите, что буквально несколько лет-месяцев -дней назад вы заходили в рыболовный магазин. Он спросит конечно же, почему вы пошли в этот магазин?Вы якобы хотели там купить подарок коллеге. В этих магазинах есть много вещей, которые связаны не только с рыбалкой. Средства против комаров, стулья для пикника, фонарики, надувные матрасы, термосы и др.Будь позитивной.Это довольно просто - в нашей жизни так много негатива, что каждый хочет чего-то позитивного и яркого.Не говорите о болезнях, неудачных браках, плохих парнях, ужасной погоде и так далее.В вашем мире все должно быть всегда хорошо!Если ты улыбаешься, ты выглядишь ухоженной женщиной, говоришь о приятных темах и любишь слушать про рыбалку, то нужный мужчина воспримет тебя как яркий позитивный лучик в своей жизни.И с таким человеком все хотят общаться.",,
Family&Relationships,," Хороший алгоритм. Вообще этополезно не только в покорении мужчин. Многие, думаю, потянутся, если быть вышеописанной женщиной.",,
Family&Relationships,,"Хотела спросить совет : с гражданским мужем в отношениях 6 лет. Сначала все было более менее нормально. Теперь для него нормой: послать, оскорбить, не стесняясь в выражениях (типо иди поплачь, иди соверши самоубийство, тварь) . Начал поднимать руку, замахивался ножом. В основном это происходит на выходных, когда он пьет. Поводы бывают разные, например: нет кутчупа, не так посмотрела. Когда он начинает унижать : может плюнуть в еду, бросить ключи от квартиры перед коллегами на землю, вылить воду с ведра на пол, который я только помыла). В такие моменты меня несет, я отвечать ему начинаю, если обзывает - я тоже. Знаю, что все ужасно. Но когда у него вспышки ярости проходят он милый, дарит цветы, просит не уходить. Вопрос: можно в этой ситуации что - то сделать, чтобы отношения стали нормальными?",,
Family&Relationships,," А Вы попробуйте прочитать свой пост, как будто незнакомый человек. Это мало похоже налюбовь, которую можно увидеть у некоторых. И зачем Вам оскорбления и битье? Даже если он в какие-то периоды нормальный и дарит цветы, сам факт, что он может быть таким уже ставитпод сомнение его как личность..Изменено 18 янв 219 пользователем Youde",,
Family&Relationships,," Милая моя. Любовь это ведь про счастье, а не про страдания. Не хочу никого оскорбить, но я считаю что существо, которое поднимает руку на женщину (темболее на ту, которую он якобы любит) нельзя назвать мужчиной",,
Family&Relationships,, шлите его по дальше,,
Family&Relationships,,"Здравствуйте. Мне 32 года. Работаю в крупной компании на руководящей должности. Зарплаты у нас хорошие. Недавно у нас возникла вакансия и я решил взять на работу молодую девчушку, 23года,недавно закончила универ. Пообщался с ней, она меня полностью устроила, но я решил использовать свое служебное положение и написал на бумажке что возьму ее, если она будет заниматься со мной сексом. Думал она откажется или скажет, что подумает, но она сразу согласилась (я бы взял ее на работу и в случае отказа, вакансию надо было закрывать срочно). Теперь в обеденный перерыв у меня регулярный секс:)После у нас сложились замечательные деловые и личные отношения даже не смотря на ее замужество через какое-то время. Наверное потому, что я человек хороший и не болтливый.Все же, по моему мнению, должно быть между начальником и подчиненной что-то интимное, не мешающее работе и семейным отношениям конечно. Это сближает и может оказаться очень полезным в определенных ситуациях.А как Вы относитесь к сексу на работе?",,
Family&Relationships,," И сейчас мужчины, которые прочитали это спрашивают: ""А че так можно было"" )",,
Family&Relationships,, я хренею хорошая дама в 23года.с ее потенциалом можно больше зарабатывать в определенной сфере.,,
Family&Relationships,,,,
Family&Relationships,,"Девочки, была 2 раза замужем. С первым мужем прожила всего лишь 2 года, потом развелись. Со вторым мужем прожили 3 года. Я и стараюсь, и пытаюсь понять своего мужчину, но как то не выходит(( Может есть, какие-то дельные советы? Спасибо!",,
Family&Relationships,," Ирина, чтобы понять почему у вас проблемы с мужчинами, нужно более тщательно подходить к этому вопросу. По своему опыту знаю, что виноваты ВСЕГДА оба (кто-то больше, кто-то меньше). Я рекомендую Вам изучить специальные курсы, или почитать книги, сейчас на эту тему очень много информации. Я желаю Вам счастья!",,
Family&Relationships,," Любовьи взаимопонимание, крепкая семья — об этом мечтает большинство людей.Но как найти свою вторую половинку? Это всегда бывает нелегко. Зачастую люди просто сидят и ждут, когда любовь сама найдет их. Нужно взять инициативу в свои руки — и счастье не заставит себя ждать!",,
Family&Relationships,,"    Всегда будьте честны с собой. Составьте для себя портрет вашей второй половинки. Решите,что вам действительно важно в человеке.Что вам должно нравиться в человеке,а что -нет. В юности мы поддаемся очарованию героев кино и шоу-бизнеса. Но это только мечта. Гармоничные отношения будут только при серьезном подходе.",,
Family&Relationships,," Нужно хорошо выглядеть,быть уверенной в себе. Чтобы вас кто то полюбил,вы сами должны полюбить себя. Душевные качества человека очень важны,но прежде всего мы обращаем внимание на внешность.Поэтому займитесь собой. Приведите в порядок фигуру,ходите в спортзал,наведите порядок в гардеробе,сходите в парикмахерскую. Старайтесь всегда хорошо выглядеть,А именно это и делает человека привлекательным.",,
Family&Relationships,," И где найти свою любовь,где она ждет вас? Для этого надо чаще выходить в люди,расширять свой круг общения. Чтобы встретить новых людей,нужно бывать в новых местах.Ходите на выставки,лекции,семинары,отправляйтесь в путешествие.вырабатывайте коммуникабельные навыки,не теряйтесь с незнакомцами.",,
Family&Relationships,,"   Помните,что страсть — не любовь,поэтому сохраняйте определенную трезвость ума.Не путайте любовь с физическим влечением. И если вам с объектом вашей страсти не о чем говорить,если его личность вас не интересует и вы как человек ему тоже неинтересны — такие отношения обречены.Не принимайте поспешных решений.",,
Family&Relationships,," Многие женщины ошибаются по принципу- ""нет достойных мужчин рядом"".Действительно если посмотреть вокруг… Ну где достойные мужчины.Одни, которые могут казаться вам нормальными и хорошими, оказываютсяуже женатыми.И почему-то “какая-то” успела охмурить. И женить на себе. Те,которые на работе – оказываются либо тоже женаты, либо совершенно вамне подходят. Большинство недостаточно хорошо выглядят. У них низкая зарплата. Уних низкий уровень интеллекта. У них очень неприятные привычки. Высмотрите на них – и они никак вас не привлекают.А у знакомых и подружек всезнакомые мужчины уже кончились. А иногда даже и не начинались… Сами вы невыходите в общественные места. Просто потому, что у вас нет времени.Работа – дом. Дом – работа. Где же выход ?",,
Family&Relationships,,"        Другая трудность, с которой вы сталкивались – “Ничего не помогает” Вот вроде бы вы настроились позитивно мыслить. Вы прочлимассу книг о том, как притянуть свою половинку в жизнь. Вы прослушалиогромное количество курсов по поиску своей половинки.Теперь вы настроились на то, чтобы позитивно мыслить. Ведьименно это способно привести вашего мужчину в вашу жизнь. И что же? Днитянутся за днями. Они складываются в недели. А недели в месяцы. Месяцыв годы… Мужчина так и не появляется… И где его искать ?",,
Family&Relationships,,"  Часто женщины ищут такую причину - “Я ОЧЕНЬ хороша. Поэтому мужчины нет рядом со мной”Нельзя же себя корить вечно. Через некоторое время вы говорите себе, чтовы очень замечательная. У вас два (три) высших образования. А ведьмужчины не любят слишком умных.Вы очень хорошо следите за собой. Поэтому должен быть мужчина, которыйоценит это.Вы очень красивая. А мужчины бояться красивых и умных женщин. Но в этом ли причина ?У вас очень хорошая высокооплачиваемая работа. Или даже вы бизнес-леди. А мужчины не любят, когда женщинабольше их зарабатывает. Они ведь тогда чувствуют себя ущемлѐнными.Вы очень высокоинтеллектуальна. И как только вы откроете свойпрелестный ротик – мужчина тут же сбежит.Потому что он не будет знать – что ему ответить на ваши слова. Может вина в вас самих ?",,
Family&Relationships,," Многие думают так- “Мне попадаются не те мужчины”Проблемы не существовало бы. Просто дело в том, чтовам попадаются не те мужчины. Вы сидите на сайтах знакомств. Общаетесьс мужчинами на работе. И нет нигде того самого.Вы в очередной раз идѐте на знакомство с очередным мужчиной. Вы красивоодеваетесь, накладываете макияж, делаете причѐску. И самое главное – вынадеетесь. Может быть это всѐ-таки ОН... Вы идѐте к месту встречи. Полнаянадежд. Приходите и понимаете… не он.Иногда вы понимаете после часа-двух. А иногда на то, чтобы это понять увас уходят годы. Годы мучений, страданий и разочарований. Только после них вы можете себе сказать – НЕ ОН. Хочу другого.И всѐ снова двигается по кругу. Так может проблема в вас самих ?",,
Family&Relationships,,"  Еще одна сложность- ""Не могу забыть прошлую любовь” Ты вспоминаешь о прошлой любви. В каждом мужчине ты хочешь найти того, кто был с тобой рядом. И не находишь… Ты не знаешь – как начать новую жизнь. Ты видишь своего бывшего любимого. И тебе становится нестерпимо больно. Ты можешь даже просто вспоминать его. И боль поднимается внутри огромной волной. Уже прошло много времени. А вы всѐ продолжаете надеяться, что он вернѐтся. Лучше обратитесь к профессионалам. Вы уже перепробовали все способы, которые только могли. Уже миллион разотпустили его. Уже сотни раз простили его. Уже тысячи раз внушили себе,что вы сильная и справитесь без него.И даже иногда становиться легче.Только новый, такой же хороший как ваш бывший любимый. Вы думаете,что это правильно ?",,
Family&Relationships,," Слишком больной вопрос -“Чем я хуже тех, которые замужем” Вы смотрите на окружающих вас замужних женщин. И не понимаете – чем,ну чем вы хуже их?  Как правило, они не так хорошо выглядят, как вы. У них очень часто не хватает такта. И целлюлит у них есть.К тому же они подавляют своих мужей. Обращаются с ними очень нехорошо. Как вообще мужчины такое терпят? Продолжаете себя сравнивать с замужними женщинами. И вы видите, что выигрываете во многих вещах. Только реальность остаѐтся реальностью. Они замужем. Вы – нет.  Не надо придираться к другим.Всегда причину ищите в себе.",,
Family&Relationships,," А ведь вы постоянно задаѐте вопрос: “Почему я не могу встретить половинку?” Вы ориентируетесь на поиск корней. Думаете об ошибках, которые вы совершили в прошлом. И именно эти ошибки (по-вашему) держат вас сейчас здесь. В этой точке времени и пространства.А время уходит.   Найди причину – и ситуация измениться сама собой. Как бы было здорово, если бы это было так…",,
Family&Relationships,, ?,,
Family&Relationships,,                       А ведь вы любите вешать ярлыки на мужчину Вы читаете гороскопы. И говорите: “Вот мне постоянно попадаются мужчины- скорпионы. А у них ужасный характер”. Или (что ещѐ хуже) “Я ведь дева по гороскопу. Поэтому мужчины овны мне совершенно не подходят. А рыбы всегда такие аморфные”. Вы смотрите на каждого нового мужчину – и уже “видите” в нѐм недостатки его знака-зодиака. И как это ни странно он начинает им соответствовать через какое-то время.,,
Family&Relationships,, Классно,,
Family&Relationships,, вы такая умная и очень красивая девушка Алла,,
Family&Relationships,,"                 Tk как влюбить в себя мужчину и благополучно женить ? Лучше всего прислушаться к советам специалистов.Я знаю одну из них.Это-Арина Фишш, успешный и процветающий психолог, сексолог и ведущий закрытых тренингов повзаимоотношениям между мужчинами и женщинами. Она удачно замужем и у нее отличная семья.Именно поэтому я и хочу поделиться с вами определёнными секретами для создания крепкой ипроцветающей семьи из ее книги .Советую.",,
Family&Relationships,," У вас наблюдаются явные проблемы с ментальными установками. Мало жить с мужчиной, нужно его ещё и понимать. Если этого нет, то любые отношения закончатся крахом! Думаете, что это я такая умная, чтобы советы раздавать?Это не так. Ваши проблемы мне знакомы. Тоже не удавалось построить долгие и счастливые отношения. То с одним поживу год, то с другим 6-7 месяцев. К счастью я вовремя поняла, что во всех своих проблемах виновата только я сама. Начала развиваться. Искать нужную информацию.Удачи вам и большой любви",,
Family&Relationships,,"Здравствуйте. После окончания универа, решил остаться жить в крупном городе и снял комнату за 9 руб. Хозяйка женщина лет 45. После пары недель проживания решил попробовать ее выебать. Она дала. А потом она сделала мне предложение: всего за 5 руб. в месяц регулярный минет каждый день после душа. Я согласился. Так вот, мне кажется, она сама кайфует от этого и всегда глотает сперму. Я читал в интернете про вафлисток, но не думал что реально найти такую. Интересно, этим страдают только женщины в возрасте или молодые тоже?",,
