topic,text,times,users,quote
Job,"Разве я говорила, что у меня богатый муж? Да, он хорошо зарабатывает для нашей нищей провинции. Но этого хватает просто на спокойную жизнь без подсчёта копеек до зарплаты."," 25 апреля, 12:56 ", Автор ,
Job,"По 19 лет, учимся в одной группе, график в учебе не позволяет выходить на полную смену.Сама подрабатываю в индустрии массажа, от парня не вижу желания что либо делать, я не требую пренебрегать учебой, прошу лишь хотя бы подрабатывать в свободное время, а не деградировать на диване, сначала от него идут отмазки «как я буду совмещать с учёбой», «это далеко», «тут мало платят,1000₽ за день это мало»(а у нас даже этой вшивой 1000₽ нет при этом), деньги давали родители, сейчас с ними он в конфликте, живет у меня, питается у меня, нет никакой цели что то сделать самому и вылезти из этого болота. Разговаривала с ним, что я тоже девушка и хочу внимания, куда то сходить, каких то подарков, не айфоны, а хотя бы раз в пару месяцев букет цветов, сказала если так и будет тунеядцем, то просто уйду, в итоге он сознается, что был не прав, но ничего не меняется, может отказаться от элементарной проработки даже когда ему ее предлагают ища отмазки.У меня нет уверенности в нем и если будет у меня какая то проблема, пусть даже финансовая-он не сможет помочь, хотя бы потому что даже себе помочь не хочет.Кто сталкивался с таким? Что можно сделать? Как влиять? Может я слишком категорично к этому отношусь, но я думаю многие девушки согласятся, что если парень вступает в отношения, то он уже берет на себя какую то ответственность, разве не так?"," 25 апреля, 11:35 ", Vi ,
Job,"выгнать от себя, прекратить кормить и ничего не требовать. мужчина существо ленивое и ничего не будет менять если все и так работает. хочешь чтобы он начал что-то делать - прекрати сама все делать. когда у него будут трудности - он начнет их решать, когда эти трудности решает кто-то другой - нет смысла шевелиться. 90% мужчин именно такие, поэтому просто ничего не делай, не плати и не живи с ним."," 25 апреля, 11:45 ", Гость ,
Job,"Несчастная тетка.Нормальная бы выперла его за 5 секунд.Или ты сильно страшненькая, или круглая дура.Третьего не дано.Тьфу."," 25 апреля, 11:45 ", Cвета ,
Job,Нужен ресурсный," 25 апреля, 11:49 ", Принцесса ,
Job,"Погодите ка, а как он оплачивает учёбу, если с родителями в конфликте?"," 25 апреля, 11:55 ", Засранка ,
Job,"Хех,если уверены в своих отношениях и в его чувствах,попробуйте поставить ультиматум,либо ты идешь на работу,либо мы расстаемся"," 25 апреля, 11:57 ", mama.hiv ,
Job,"Ничего не выходит, один косяк за другим 😔😔😔 все злятся А я не понимаю, мне поручают работу которую я делаю впервые и хотят результат в итоге большой мучительно больно всехВидимо работа - это не мое"," 25 апреля, 10:32 ", Автор ,
Job,Иди убейся тогда," 25 апреля, 10:36 ", Злой ,
Job,"Ну впервые поручают работу по шаблону, главное внимательность, выспаться светлая голова, если изначально внимательность со школы сильно хромает, ищите другую нишу."," 25 апреля, 10:39 ", Гость ,
Job,"Да ладно тебе, если б ты хотела ты бы собралась и ушла, и нашла бы работу по душе, в которой немного разбираешься."," 25 апреля, 10:39 ", Засранка ,
Job,"Работайте по должностной инструкции, если не поняли то спрашивайте, говорите, что опыта у вас нет."," 25 апреля, 10:45 ", Гость ,
Job,"Попробуйте работу попроще. Дворником, например."," 25 апреля, 11:34 ", Бухие бухи ,
Job,"Ситуация такова: пару месяцев назад у меня была близость с коллегой (назовем его козел №1), и не смотря на все его обещания, что ""это никак не повлияет на моё отношение к тебе, я тебя буду также уважать"", отношение его ко мне все же поменялось, он стал отстранённым и не разговаривал со мной. В это же время к нам на работу устроилась новенькая. И да, после меня он начал подкатывать свои козлиные яйца к ней. По началу я думала, что это ""показушный"" флирт специально для того, чтоб вызвать у меня ревность, до недавнишнего времени, когда мы с ней (новенькая) не разоткровенничались, и она сказала, что он звал её на свидание с продолжением, просил её фото и т.д. У них ничего не было, но я всё же решила насторожить её про него. Но на этом история не заканчивается. Пару дней назад, я, новенькая и другой коллега (козел №2) решили посидеть втроем. И да, тут уже он начал подкатывать ко мне свои ""козлиные женатые яйца"". Новенькая за весь вечер очень много молчала, и чувствовалась какая-то неловкость, ПОКА, она не сказала мне, что у неё был секс с ним, и видеть как он так флиртует в открытой перед ней со мной ей было больно, поэтому она молчала. Какой-то свингер офис. Сказать, что я в а**е и что мы чувствуем себя использованными - ничего не сказать. В ходе разговора с ней выяснилось какие фразы они использовали на нас, что один, что другой, что мне говорили, что ей. Нам стало смешно, но также обидно от всей этой ситуации, ведь они видят и знают как мы с ней хорошо ладим, и так пытаться использовать нас. Я в ярости, я недопонимании как таких мужиков еще земля носит. Я хочу мести. Но стоит ли? Или же, отпустить ситуацию, и сказать ""Карма сделает за меня своё дело""?Подскажите, пожалуйста."," 25 апреля, 08:06 ", Другая женщина ,
Job,Господе...," 25 апреля, 10:28 ", Гость ,
Job,"Не мстить, а извлекать урок из того что получили и впредь когда в офисе появится козёл 3, не ложится с ним в кровать."," 25 апреля, 10:28 ", Засранка ,
Job,"Так это вы слабые на передок, а не мужики козлы. Разрогатились, а кругом все плохие"," 25 апреля, 10:28 ", Гость ,
Job,Вы там на работе кроме потр*хушек чем нибудь занимаетесь?," 25 апреля, 10:29 ", Гость ,
Job,Я б отомстила.," 25 апреля, 10:31 ", Гость ,
Job,все привет )хотела спросить может кто нибудь знает как найту работу вахтой в москве или в каком нибудь другом городе ?," 25 апреля, 07:25 ", Автор ,
Job,Заходишь на сайты поиска работ и ищешь 🤦‍♀️," 25 апреля, 07:59 ", Птичка_на_ветке ,
Job,hh смотрели?," 25 апреля, 08:08 ", AngryCat ,
Job,"Здравствуйте. Я неудачница. А теперь подробнее. В школе как ни старалась училась плохо, не понимала предмета, была жертвой буллинга, изгоем во дворе. Просто потому что не такая была как все, не пила не курила, с мальчмками не встречалась. Мечтала о театральном институте и уроках музыки. С 15 лет начала работать, весь заработок до копейки откладывала чтобы оплатить уроки вокала, занималась сутками, но толковой певицы из меня не вышло, в институт поступила но на платное обучение а денег не было такой по тем временам большой суммы. Пошла работать в шоу танцовщицей и там хоть и внешние данные были и пахала я сутками до семи потов, но толкового не вышло ничего, плюнула, ушла работать уборщицей в спорткомплекс, стыдно мне было там полы мыть в 19 то лет, но на хлеб то надо зарабатывать, а по выходным еще и квартиры убирала ходила. Так жила пока замуж не вышла в 27 лет. Муж отправил на курсы маникюра, училась я усиленно, старалась, в рот заглядывала как говорится наставникам, начала работаь, но за 5 лет так и не стали мне нравиться результаты моей работы, клиенты после первого раза не приходили снова, а последняя работа для меня была ужасом и я решила оставить эти ногти. Вспомнила что в детстве мама учила вязать, купила пряжу, крючок, связала детские костюмчики с надеждой продать, но костюмчики кстати очень хорошие получились, а вот только уже 2 года продаю и ни одного не продала... ну кроме всего этого работала и сиделкой и официанткой до брака. Сейчас муж неплохо зарабатывает, и меня не обделяет деньгами, но я хочу тоже зарабатывать, САМА, а вот все как будто валится из рук, сейчас сижу и плачу, так обидно, как будто прокляли меня с рождения, чтобы ничего не выходило у меня. Это я тут коротко еще рассказала, а вобще у меня все из рук валится, все выходит неудачно. Вот только с детьми я и сижу дома да еду готовлю и уборку делаю. Неужели так я и буду всю жизнь неудачницей? Или есть выход? Может у кого было подобное? #работа"," 24 апреля, 22:42 ", Ольга ,
Job,"Из всего описанного становится понятно, что с самых ранних годов вы заклеймили себя статусом: ""неудачница"". Либо к психиатру, либо проанализировать поведение более детально."," 24 апреля, 23:14 ", Гость ,
Job,"Сделала вывод, что если много лет не получается что-то, значит:Или нерегулярно делалиИли недостаточноЯ в музыкальной школе плохо училась, завалила сессию в музучилище на 1 курсе, борьба за высшее музыкальное была неск лет, поступила с третьего раза. И проблем была тьма, одно сольфеджио чего стоило. Да и играла я плохо много лет. Надо мной посмеивался преподаватель по спец, что я тугодумка, все долго делаю, не дается ничего сходу. Просто долбила одно и тоже. По тысячи раз! И получилось же. Нужно просто делать что-то одно, бить в одну точку! И все. Не может не получиться тогда."," 24 апреля, 23:16 ", Лира ,
Job,"Вам нужно поработать с хорошим психотерапевтом. Начните искать его прямо сейчас, а не мысли гонять одни и те же негативные"," 24 апреля, 23:37 ", Гость ,
Job,"+++ Найди хорошего специалиста по профориентации, который определит твои способности. Направит на нужные профессии. Нужно загореться чем-то и потом выучись и начинай работать."," 25 апреля, 06:08 ", Гость ,"Сделала вывод, что если много лет не получается что-то, значит:Или нерегулярно делалиИли недостаточноЯ в музыкальной школе плохо училась, завалила сессию в музучилище на 1 курсе, борьба за высшее музыкальное была неск лет, поступила с третьего раза. И проблем была тьма, одно сольфеджио чего стоило. Да и играла я плохо много лет. Надо мной посмеивался преподаватель по спец, что я тугодумка, все долго делаю, не дается ничего сходу. Просто долбила одно и тоже. По тысячи раз! И получилось же. Нужно просто делать что-то одно, бить в одну точку! И все. Не может не получиться тогда."
Job,У всех было. Найдите работу для стажа.," 25 апреля, 19:30 ", Василий ,
Job,"Короче, хочу себе столько денег, сколько у леди Гаги, и чтоб меня звали на Грэмми и красивые мужики сами прыгали на шест передо мной, что для этого сделать ?"," 24 апреля, 22:21 ", Автор ,
Job,уже никак," 24 апреля, 23:11 ", Гость ,
Job,печаль," 24 апреля, 23:13 ", Гость ,уже никак
Job,Быть уродливой у Вас не получится.," 24 апреля, 23:15 ", Гость ,
Job,"Мне 19 лет. После колледжа один год решила потратить на заработок денег для поступления в университет на платное (если на бюджет не выйду). Так вот, я работала 4 месяца в общепите кассиром, ушла от туда по личным причинам и пришла на свою нынешнюю работу кассиром в ювелирном. То есть, стало быть, опыт работы в продажах есть. На этом я и делала акцент на собеседовании. Стажировку прошла успешно. Первые дни работы только так изучала механизмы работы магазина, всем интересовалась. Познакомилась ближе с директором и подружилась с коллегами. И вот, работаю уже 2 недели (пятидневка по 9 часов) и постоянно ошибаюсь. Просто бесконечный поток ошибок. Конвейер. Переживаю страшно из-за косяков, каждый раз в краску и чуть ли не в слезы. Сама о себе я думала, что не глупая, что легкообучаемая, ведь я много читаю и активно готовлюсь к поступлению, но после стольких совершенных косяков начала в себе сомневаться. Директор ругается, называет безответственной, извинения не принимает. Я ее не виню. Коллеги утешают, говорят, что у всех новичков бывает, но я думаю, что они за спиной меня осуждают, потому что я постоянно их беспокою. И самое главное, что перепроверяю сотню раз, но даже это меня не спасает и ведь опыт уже был! Неделю назад, когда закрывала смену, делала это полтора часа, постоянно беспокоила коллег, хотя коллега записала видео с подробным описанием закрытия смены. Не знаю почему не смогла сделать это самостоятельно.Вчера чуть не пробила скидку на скидке, хотя мне сотню раз объясняли, что так делать нельзя. Хорошо, что коллега пресекла сразу. Сегодня неправильно заполнила бланк приема наличных, вышел излишек (небольшой). Придется завтра связываться с бухгалтерией и все переделывать. Мне очень нравится моя работа, не знаю в чем моя проблема.Страшно стыдно. Что мне делать, как исправиться? Очень не хочу уходить отсюда. #работа"," 24 апреля, 20:23 ", Автор ,
Job,"Не переживай, ты молодая и неопытная, большинство это понимают"," 24 апреля, 20:38 ", Гость ,
Job,"""И самое главное, что перепроверяю сотню раз, но даже это меня не спасает и ведь опыт уже был!""Проверять можно по разному, пробежаться глазами или вчитываться. Делайте как в школе, читайте каждое слово и водите пальцем. Натренируете внимательность.""Неделю назад, когда закрывала смену, делала это полтора часа, постоянно беспокоила коллег, хотя коллега записала видео с подробным описанием закрытия смены. ""Посмотрели один раз видео и все? Порядок работы выписали? пункт 1, пункт 2 и т.д. В блокнот, на мобилку? Или распечатайте листок на принтере, если совсем путаетесь и забываете. Выполнили первый пункт, поставили галку карандашом. а след.день эти галки стираете и все сначала.""Сегодня неправильно заполнила бланк приема наличных, вышел излишек (небольшой). ""Аналогично, составляете шпаргалку, что и как делать. И не в общих чертах. Лучше взять пустой бланк, в нем написать все нюансы и маркером подкрасить основное. Начинаете делать эту работу, сначала вытаскиваете шпаргалку и читаете."," 25 апреля, 09:22 ", Гость ,
Job,"Это не ваша работа. Раз пишите на форум, вместо учёбы."," 25 апреля, 19:32 ", Василий ,
Job,"Чтобы залипли и независимо от мастера (так как любой в нем ,выполняет работу идеально).. в какой ходили бы много лет ..,всегда уходили довольной ..что должно в нем быть ?как бы вы его искали в поиске ,пр каким критериям ?Вот мне нужен тот,где хороший солярий и архитектор бровей ..чтобы все ,что мне надо в одном месте ..И хотели бы вы ,чтобы много процедур делал один мастер или нравится когда каждую процедуру меняются мастера ..?"," 24 апреля, 19:19 ", Мила ,
Job,Гигиена и санитария .Разумные цены.Сертифицированные материалы / продукция," 24 апреля, 20:16 ", Гость ,
Job,"Здравствуйте.Работаю веб-разработчиком в строительной компании 1.5 года. Не скажу, что я прям супер. Где-то средний уровень. Но я пыталась изучать всё сама, не было таких людей, у которых можно было спросить именно с технической точки зрения. А если и были я как-то не лезла, у них свои задачи. Две недели назад руководство ставит перед фактом, чтоКакая ситуция сейчас происходит:- он постоянно заваливает меня вопросами, которые должен знать, ну или хотя бы почитать;- кидает мне код на проверку;- спорит, а потом всё равно делает, как я говорила;- не выполняет основных требований, чтобы удобнее было потом читать код. Я подошла к своему руководству и объяснила всё это. На что мне сказали, попробуй стоять на своём, ты руководитель, пусть делает так, как тебе нужно. Да, и то, что я не должна проверять и тем более вносить правки в его код. Я всё это и так понимаю. Плюс ещё раздражает, что он получает 80℅ от моей з/п. И я бы тоже не отказалась от бесплатного ментора. Только таких лохов ещё поискать. Как мне ему сказать, чтобы он сам всё делал и изучал, ведь это его работа? Понимаю, что звучит глупо. Но, не умею я отказывать людям. Самой паршиво, а я дальше готова помогать. Уже думаю увольняться, но ведь в другом месте опять может такое быть. #работа"," 24 апреля, 19:01 ", Автор ,
Job,"Вы правы, что требуете от него выполнения работы, на производстве нянек нет, а если тебя кто то чему то учит, это большое везение и надо быть благодарным таким людям. Если он чего то не знает, пусть открывает инструкцию или что у вас есть, и изучает, сам."," 24 апреля, 19:29 ", Гость ,
Job,"Прямо и в лоб сказать, что вы ему не нянька и что раотать он должен самостоятельно. И требуйте с него результаты. И учиться должен самостоятельно, если хочет соответствовать занимаемой должности."," 24 апреля, 20:41 ", Гость ,
Job,"Не увольняться, а учитесь командовать и говорить нет. Иначе вам в любом месте на шею сядут. Успехов!"," 24 апреля, 20:44 ", Гость ,
Job,Спасибо!," 24 апреля, 21:22 ", Гость ,"Не увольняться, а учитесь командовать и говорить нет. Иначе вам в любом месте на шею сядут. Успехов!"
Job,Спасибо," 24 апреля, 21:22 ", Гость ,"Прямо и в лоб сказать, что вы ему не нянька и что раотать он должен самостоятельно. И требуйте с него результаты. И учиться должен самостоятельно, если хочет соответствовать занимаемой должности."
Job,"Всем привет! Прошу отнестись к этой теме серьезно, без осуждения.Меня очень интересует мнение других женщин по этому вопросу.Мне 28 лет, я вдова. Моему ребенку 7 лет. Есть пособие по утере кормильца, и я работаю. Работа честно скажу не супер оплачиваемая, я работаю в КБ. Временами с деньгами бывают небольшие трудности. И вот я собственно перехожу к самой теме вопроса. Я недавно нашла в интернете предложение заработка, суть этого заработка это продажи. Но вот товар я скажу совсем мягко говоря специфический. Ношеные трусики, носочки - в общем ношеное бельё. Всё анонимно. Я почитала в интернете и узнала что некоторые девушки зарабатывают на там ""товаре"" приличные деньги. Но для меня это ну мягко скажем дико. Я всегда трепетно относилась к личной гигиене и своему белью, а тут носить несколько дней и передавать это незнакомому человеку, не понятно для каких целей. (Хотя понятно)) Но с другой стороны я ничего аморального не делаю, это проблемы покупателей которые будут покупать мой ""товар"". И честно признаюсь дополнительный заработок сейчас был бы очень к стати. И вот я мучаюсь уже почти неделю. Близких подруг у меня нет, а с коллегой по работе таким делиться боюсь. Будет про меня потом думать всякое и рассказывать всем. По этому хочу спросить совета тут. Насколько это нормально или не нормально. Ситуация у меня в жизни такая что я больше готова согласиться и начать. Но хотелось бы узнать мнение других женщин."," 23 апреля, 21:00 ", ЛикаЛикаЛика ,
Job,И на стирки сэкономишь. А электричество с порошком то нынче не дешевые," 24 апреля, 18:38 ", Гость ,
Job,Для тебя нет. Тебя уже терзают сомнения. Потом чувство вины сожрёт. Потом вообще свои трусы выкупать побежишь.," 24 апреля, 18:39 ", Злой ,
Job,"А что плохого в этом? Продавайте. Интересно, где такие предложения найти?"," 24 апреля, 18:48 ", Натали ,
Job,"а что тут не нормального? ведь не ты же чужее нюхаешь?хотя сильно уж на разводку смахивает, смотри что бы никаких платежей от тебя им за ""обучение"", за ""упаковку"", за ""маркетинг""..."," 24 апреля, 18:55 ", Гость ,
Job,"Автор,сама подумай,кому нужны твои труханы с выпревшим серёдышем?Ведь взрослая баба, а ведёшься на такие разводки о заработках в интернете!"," 24 апреля, 18:56 ", Гость ,
Job,"Мне почти 20 лет. Я заканчиваю 3-й курс университета (филфак). И в следующий году собираюсь идти работать в школу. Часто вижу ролики у учителей про эмоциональное выгорание. Если зайти в комментариями под этими роликами, то страшно становится. Неужели всё так плохо? И с ЗП, и с коллективом, и с детьми, и с родителями.Пожалуйста, ответьте те, кто работает учителями любых предметов. В приоритете, учителя русского языка и литературы. Буду рада, если дадите советы для молодого учителя и поделитесь своими историями!#работа #учителя #совет #школа"," 24 апреля, 17:37 ", Анастасия ,
Job,"Очень сильно зависит от школы и города. Я работаю в Москве в очень хорошей школе, у меня все шоколадно. Сестра работает в регионе в обычной дворовой школе - сходит с ума."," 24 апреля, 18:06 ", Гость ,
Job,"Моя сестра работает учительницей. Придете. Работать В школу, опытные учителя начнут вам советы давать , а найдутся 1-2 , которые будут к вам придираться. Не спорьте с ними, говорите- спасибо за советы Марь Иванна.Ну родители- это отдельная тема. Есть адекватные, есть не адекватные"," 24 апреля, 18:16 ", Гость ,
Job,"Работаю преподавателем в муз. школе. Крайний север. Два года здесь, до того в средней полосе работал за копейки. В общем 4 года по данной специальности работаю, но чувствую, что не мое это - хочется свалить жуть. Из минусов - бумажная работа, женский коллектив, дети некоторые выводят. В общем работа для мазохиста. Однако есть регионы, где платят хорошо - 100-150 к + квартиру на время контракта (у меня так). В общем пытайтесь попасть туда, где лучше кормят, все просто. Заработаете и прикинете, что делать - жилье или бизнес. Ибо не по специальности будете сильно меньше иметь как ни крути. Также работая где нибудь в средней полосе не заработаете особо. Мой вариант конечно, непростой. Однако едут ребята и девчонки молодые, ничего, никто их тут не съел. Смотрите сами. Конечно, в паре с мч надо ехать, молодая вы еще."," 24 апреля, 22:36 ", Чир ,
Job,А в каком Вы именно городе?," 24 апреля, 22:50 ", Анастасия ,"Работаю преподавателем в муз. школе. Крайний север. Два года здесь, до того в средней полосе работал за копейки. В общем 4 года по данной специальности работаю, но чувствую, что не мое это - хочется свалить жуть. Из минусов - бумажная работа, женский коллектив, дети некоторые выводят. В общем работа для мазохиста. Однако есть регионы, где платят хорошо - 100-150 к + квартиру на время контракта (у меня так). В общем пытайтесь попасть туда, где лучше кормят, все просто. Заработаете и прикинете, что делать - жилье или бизнес. Ибо не по специальности будете сильно меньше иметь как ни крути. Также работая где нибудь в средней полосе не заработаете особо. Мой вариант конечно, непростой. Однако едут ребята и девчонки молодые, ничего, никто их тут не съел. Смотрите сами. Конечно, в паре с мч надо ехать, молодая вы еще."
Job,"Чукотский автономный округ. Дальше не скажу, конфиденциальность) в общем на севере бюджетникам еще платят. Врачи и учителя не жалуются на зп в основном"," 25 апреля, 22:28 ", Чир ,А в каком Вы именно городе?
Job,"вы работали с человеком около года назад, потом вы перестали заниматься с ним и захотели вернуться через полгода, он вам написал цену в 2 раза выше, вы захотели вернуться еще через пару месяцев, написали что могли бы по старой цене работать, пока финансовы трудности, он молчал неделю, пишет, что не берет клиентов лично, хотя на сайте написано, что берет, просто цена другая. Стали бы что-то говорить?"," 24 апреля, 16:33 ", Автор ,
Job,вам вежливо сказали нет. если вам необходимо скандалить - сочувствую (наверно) :)," 24 апреля, 16:41 ", Гость ,
Job,"мне просто интересно, на сайте указано много услуг и цены, если она из-за цены отказала, то можно за нормальную?"," 24 апреля, 16:43 ", Гость ,вам вежливо сказали нет. если вам необходимо скандалить - сочувствую (наверно) :)
Job,"Я понимаю слово Нет. Более того, я понимаю чувство Нет, даже если оно не высказано словом.Не хочет человек - не навязываюсь. Кажется, это называется гордость. Или деликатность. Не важно."," 24 апреля, 16:47 ", Гость ,
Job,я не понимаю это из-за цены?," 24 апреля, 16:49 ", Гость ,"Я понимаю слово Нет. Более того, я понимаю чувство Нет, даже если оно не высказано словом.Не хочет человек - не навязываюсь. Кажется, это называется гордость. Или деликатность. Не важно."
Job,"Возможно. Или вы ей как человек не приятны. Я тоже навязчивых не люблю, могу ее понять.Без обид. Вопрос - ответ."," 24 апреля, 16:56 ", 🐞 ,я не понимаю это из-за цены?
Job,"По образованию я фармацевт(провизор), в аптеке проработала всего пол года, после института, уволилась из-за коллектива🐍🐍🐍, и из-за того, что сделали смены по 14 часов, вместо 12. Хотя был заманчивый график работы 2/2. Ходила потом на стажировку в другую сеть, но ушла оттуда, так как там неудобная программа, много заморочек. Меня пригласили на собеседование в компанию, которая постачает препараты аптекам, компания дистрибьютор. Мои обязанности это звонить по аптекам, озвучивать акции, работа в оффисе график 5/2 по 8 часов. Зп немног.о больше чем в аптеке на пару тысяч. Не знаю есть ли смысл туда идти. #нуженсовет"," 24 апреля, 15:17 ", Автор ,
Job,Там голый оклад ? Сумма зп не меняется от «продаж» ? Вообще не понятно зачем фармацевту идти на продажи по телефону .. туда обычно берут всех и всегда а значит работа такое себе," 24 апреля, 16:08 ", Гость ,
Job,"Не надо туда идти, потеряете стаж и квалификацию провизора!"," 24 апреля, 16:11 ", Гость ,
Job,"Там оклад меньше чем ставка у фармацевта😅большая часть зп это как %%%от продаж, мне так сказали"," 24 апреля, 16:54 ", Гость ,Там голый оклад ? Сумма зп не меняется от «продаж» ? Вообще не понятно зачем фармацевту идти на продажи по телефону .. туда обычно берут всех и всегда а значит работа такое себе
Job,Вы думаете лучше норм аптеку выбрать?," 24 апреля, 16:54 ", Гость ,"Не надо туда идти, потеряете стаж и квалификацию провизора!"
Job,Вы чего ?! Вам это зачем надо ? Те вы понимаете .. что столько сколько вы «этого добра» навтюхиваете столько и получите .. Как бы жить и не знать сколько денег завтра будет это как минимум не очень комфортно .. плюс если вы фармацевт то наверно знаете что через посредника сейчас мало кто работает .. все заключаются договора на поставки с производителями- заводами . Платить посреднику это как минимум глупо - Я это к тому что желающие будут но не так уж и много," 24 апреля, 17:00 ", Гость ,"Там оклад меньше чем ставка у фармацевта😅большая часть зп это как %%%от продаж, мне так сказали"
Job,"Написала что на больничном, а начальство ничего не ответило. Стоит ли звонить?"," 24 апреля, 15:10 ", Аня ,
Job,Стоит.," 24 апреля, 15:29 ", Гость ,
Job,Не берет трубку," 24 апреля, 15:30 ", Аня ,Стоит.
Job,Сделали что могли.," 24 апреля, 15:32 ", Гость ,Не берет трубку
Job,Всмысле," 24 апреля, 16:08 ", Аня ,Сделали что могли.
Job,"А зачем звонить? Еще раз сообщить, что на больничном? У вас бзик, что люди всегда должны вам отвечать? Начальство прочитало и приняло к сведению, можно ничего не отвечать."," 24 апреля, 18:03 ", Гость ,
Job,"Как быть? Училась на препода английского. Работала какое-то время официанткой, репетитором, переводы делала. Потом переехала зарубеж к мужу, закончила учебу по лингвистике, было всё очень и очень сложно, но работу найти не могу уже полгода, хотя бы немного по специальности! Я училась, в целом, почти 10 лет, но никем не стала. И учеба последняя мне не нужна была, поступила, чтобы сделать визу. Сейчас не знаю, куда податься. Изучала ux ui дизайн, но как-то не моё, там нужен хороший аналитический склад ума. Нравится спорт и всё, что с ним связано. Медицина, но поезд уже ушел... Люблю готовить. Мама как-то сказала, что ""поваром будешь на кухне"". В душе я очень хочу своё кафе, небольшое, но на это нет денег. Жизнь стала пустой. Будто бы и сама не жила вовсе #нуженсовет"," 24 апреля, 13:46 ", Автор ,
