text,quote,users,times,topic
" Самому или через агенство, как мне кажется, зависит от направления и имеющегося опыта на выбранном курорте. К примеру, по направлению Москва-Стамбулпроще самому все найти, и авиабилеты, и проживание.Билеты можно отыскать совсем недорогие",, Deeb, 7 окт 2019, Travel
" Вы знаете, тут не угадаешь. Говорю из личного опыта. Мое последнее путешествие было в Израиль, вот вернулась на днях. Брали парочку экскурсий у Ecusio и не зашло. Самостоятельный отдых оказался гораздо продуктивнее. Хотя, казалось бы. да? экскурсии были простенькие, обзорные по двум городам: Цфат и Акко. Обе длятся по 7 часов - средняя экскурсия. Все сложилось так, что вела ее экскурсовод Натали. Какой-то у нее взгляд нехороший, но ладно с этим. Хотя, подружки, с которыми я была, тоже отметили, что аура у человека неприятная. Второй пункт, более важный: Натали могла игнорировать вопросы - просто не отвечать на них и начинать совершенно другую тему, которая была интересна исключительно ей. И так обе экскурсии - обе. В Бараме - это парк, если кто не знает, то мы ее потеряли. Она отошла поговорить по телефону и все: пиши - пропало. Потом через 15 минут приходит, когда мы уже давай бить во все колокола. Как ни в чем не бывало. И еще такая возмущенная подошла к нам! Человек просто себе на уме! Так и экскурсии прошли: она где-то глубоко в себе, и мы просто для красоты, видимо.",, Lekov, 28 фев 2020, Travel
" Когда как. Если по России, то можно и самим.",, bes2-2, 31 янв 2021, Travel
"Как сейчас дела с развлечениями, чтобы и нам и детям было интересно? Кто там был недавно, что посоветуете?",,iki,3 авг 2020,Travel
" Недавно приехали оттуда. Анапа прекрасное место. Недалеко от Анапы есть шоу «Африканская деревня» в Сукко, театр Натальи Таши. Выступают в нем профессиональные артисты. В Сукко расположена импровизированная деревня. В программу входят разнообразные номера песен и танцев: лиричные, драматичные, романтичные, веселые, смешные, зажигательные. Сценарий продуманный. Очень ярко и пестро, зажигательно! Советую сходить, интересное представление на свежем воздухе. Нашей семье всё очень понравилось, окунулись в мир Африки..",, coed, 4 авг 2020, Travel
 кстати уже в турцию можно улететь,, KeyK, 5 авг 2020, Travel
Давайте поговорим об Израиле. Кто был? Что можете сказать? Делитесь впечатлениями),,Kosh,12 фев 2020,Travel
" Давайте! Мне есть что рассказать. Ездила с дочкой на экскурсию с Eilous. Название этой экскурсии “Иерусалим”,. ну такое, знаете ли. экскурсовод что-то мямлил, микрофон местами не работал. в автобусе жарко - еле добрались к Елеонской горе. Экскурсии относительно дорогие - 5$ ( с русским языком), но лучше б поехали с Rubi Touism. выбирала между ними и Eilous. Если еще доведется поехать, не советую Eilous вообще ни разу!! А так, страна интересная, но дорогая, конечно. Советую запастись денежкой.",, Антонина89, 27 фев 2020, Travel
" Если хотите испортить себе отдых в Израиле, обращайтесь за экскурсиями в Парадайз Туризм.Обычно не пишу отзывов, но сейчас накипело. Ездили с ребенком в феврале на экскурсию на Мертвое море из Эйлата. Давно очень хотели там побывать. Рассматривали варианты экскурсии с Парадайз Туризм и Рубин Туризм, у них были хорошие условия. Остановились на Парадайз. Но с самого начала экскурсии что-то пошло не так... Мало того что автобус опоздал на 3 минут, так еще и всю дорогу слушали ""шаблонную"" экскурсию под звуки разваливающегося автобуса. Ребенка укачало от этой тряски! А на просьбу сделать остановку, водитель только недовольно фыркал и ехал дальше! Море конечно, это море, полный релакс, но... Обратная дорога была так же испорчена невыносимой тряской и жарой, и отсутствием кондиционера в автобусе. В следующий раз точно с ними не поедем! И впредь всем рекомендую подробно уточнять все детали поездки, вплоть до марки автобуса и имя водителя. Для меня это было уроком, надеюсьэто тоже поможет в будущем.",, Галина Маркова, 27 фев 2020, Travel
" Девочки, а мне туроператорИзраленд Тревел не понравился!!Трансфер опоздал на целых 1,5 часа, потом поломался - не успели тронуться.Должны были выехать в 6:3, выехали ближе к 8:3.Когда трансфер поломался, то надо было видеть выражение лица гида!Он побледней, вспотел - настолько впечатлительный молодой человек оказался! Голосок то давай дрожать!Люди занервничали тоже - их же надо как-то успокоить. Он начинает говорить - в горле пересыхает, он начинает искать воду в своей сумке. Какой-то нестрессоустойчивый. Его спрашивают, когда мы сможем тронуться - он не знает, его спрашивают чтос трансфером - не знает. А кто знает?Водитель не разговаривает на русском и английском.Понабирают по объявлению, а ты заплатил деньги и мучайся потом с этим цирком.",, Юлечка, 20 мар 2020, Travel
" Приветик всем! у меня есть что вспомнить. Жанна, которая представилась менеджером, обещала мне перезвонить через 1 минут, потому что она была на встрече с клиентом. На фоне у нее там орал во все горло кто-то. Мне кажется, что встреча не прошла удачно. Через 1 минут она мне не позвонила и я еще подождала 5 минут. На сайте есть услуга, что они перезванивают сами в течение 5 минут. Перезвонили через 1, представились Арсеном, сказали, что сейчас на встрече и сказали, что перезвонят, после чего трубку сразу положили. Ни Жанна ни Арсен не объявились в течение 3 минут. Хотела им влепить отзыв за то, что врут клиентам - не нашла где это сделать. Неприятная компания каких-то дураков!",, Анна - Мария, 1 апр 2020, Travel
"Как предпочитаете отдыхать - валяться на пляже, купаться, загорать, или посещать экскурсии, знакомиться с достопримечательностями страны?Я больше одного дня не могу лежать на пляже, мне нужно куда-то идти, узнавать что-то интересное.",,Бьянка-Янка,28 май 2016,Travel
" Я всё люблю Мне нужно один день - активный, экскурсии, прогулки, эмоции. Второй - отдых на пляже. Потом можно снова узнавать что-то новое. Муж у меня любит активный отдых, поэтому иногда он ходит на экскурсии без меня, пока я отдыхаю на пляже, он развлекается. Всех такой режим устраивает.",, Майская, 9 июн 2016, Travel
" Чередовать надо обязательно, иначе приестся.",, Aleksd117, 17 июн 2016, Travel
" Мы поехали с семьей в круиз, обалденная штука , мы осуществили мечту об исключительном отдыхе. Девчонки мы совсем забыли про возможность круиза, бассейн громадный, магазинов куча, детям много разных развлечений.",, efl, 21 июн 2016, Travel
" Я люблю пассивный отдых, лежать на море и купаться.",, mke1234, 22 июн 2016, Travel
" А я все люблю по чуть-чуть. Утром на пляже поваляться, а вечером потусить, посетить интересные места.",, Tli, 22 июн 2016, Travel
" и так, и так. в зависимости от места, от компании)",, VioleY, 22 июн 2016, Travel
" я люблю сочетать - день на пляже поваляться можно, а на следующий можно погулять, на велосипеде покататься или чего-ниудь ещё.",, Lyl, 24 июн 2016, Travel
 Лучше активный.,, Тирион, 24 авг 2016, Travel
" Я люблю разнообразие - и поваляться немного, и по экскурсиям походить, и активно провести время, например обучиться какому-то новому виду спорта.",, LisAlisk, 29 мар 2017, Travel
" однозначно активный, к этому и малыша приучаем. В это лето катались в Сочи, но не лежали, как тюлени. на пляже, а мотались на экскурсии, лазали по горам, много гуляли.",, Вероника В, 4 авг 2017, Travel
 ," однозначно активный, к этому и малыша приучаем. В это лето катались в Сочи, но не лежали, как тюлени. на пляже, а мотались на экскурсии, лазали по горам, много гуляли.", Msh819, 6 авг 2017, Travel
" Самому, бесспорно, интересно. Только на это нужно куча времени и денег. А когда время отпуска поджимает и хочется успеть посмотреть все, тут экскурсии помогают. Я любитель всего нового. Даже в своем городе хожу теми дорогами и тропами, где еще не ходила. Если попадаю в тупик, говорю себе:""Зато теперь знаю, что здесь тупик и я здесь еще никогда не была"". "," Ну экскурсии это довольно скучно, лучше самим все узнавать и исследовать", Татьяна Лавр, 20 окт 2017, Travel
" Я люблю разные варианты, иногда хочется просто поваляться на пляже, но небольшие пару дней, больше люблю активно отдыхать. Мы даже иногда в горы в поход ходим",, аррина, 19 янв 2018, Travel
" должно поровну быть мне кажется) в идеале - половина отдыха на пляже и у бара, половина - экскурсии или экстрим)",, Augusi, 22 янв 2018, Travel
" Предпочитаю активный отдых: смотреть достопримечательности, исследовать их, ходить на экскурсии, посещать музеи, выставки, театры, гулять на природе, ходить-бродить, смотреть и восторгаться!) Лежать на пляже вообще не могу.",, Piy, 27 апр 2018, Travel
" Тоже болье люблю активный отдых. На море я тоже могу отдыхать, но недолго) Жара меня слишком утомляет. Мне нравится смотреть на достопримечательности городов, в том числе и наших, российских. Недавно с подругами в Москву ездили. Мы ходили в музеи, на выставки, в планетарий. Веселились просто как дети малые)))) Больше всего мне лично запомнилась Третьяковская галерея, красота неописуемая...",, Del, 10 май 2018, Travel
 И мне нравится отдыхать активно.,, Tuy, 28 сен 2018, Travel
 конечно активный,, ppolik, 21 янв 2019, Travel
" Если это морской курорт, то пляжное время - это обязательно, но после обеда или вечернее время обязательно должно быть посвящено экскурсиям или прогулкам. Для этого конечно же лучше взять машину в прокате, тогда можно будет увидеть больше."," Как предпочитаете отдыхать - валяться на пляже, купаться, загорать, или посещать экскурсии, знакомиться с достопримечательностями страны?Я больше одного дня не могу лежать на пляже, мне нужно куда-то идти, узнавать что-то интересное.", КюшечкаН, 30 янв 2019, Travel
 Активный отдых гораздо интересние. полежать можно и дома а вот посмотреть другие страны и изучить и погрузиться в их культуру удаётся не каждый день. так что однозначно активных отдых ,, NikWeoik, 1 апр 2019, Travel
" Раньше была за активный отдых, но в последние пару лет всё больше хочется просто расслабиться в отпуске.",, AsyCool, 27 янв 2020, Travel
"Всем привет, очередной вопрос про подарки )Хочу съездить с женой в отпуск, сделать подарок - небольшое путешествие, можно в Европу, можно и недалеко от Москвы. Расскажите где вы побывали, какое нибудь романтическое место ) Понятно про Вену, Прагу и тп, но это дорогавито. может что-то поближе? Может какая усадьба симпатичная или гостиничный комплекс на красивой природе.. спасибо!",,Veezi,17 дек 2019,Travel
"Всем привет, подскажите пожалуйста кто путешествовал на арендованной машине?Хотела взять в аренду авто, для того чтоб не быть привязанной к одному месту, и самой осмотреть так сказать местность и достопримечательности, но вот никак не могу определится с сервисом.Если у кого был опыт именно в арендованном транспортном средстве, подскажите сервисы. Заранее спасибо!",,Vldle Peov,23 окт 2019,Travel
" Тут всплывают несколько вопросов,какая странастраны,на какой бюджет ориентируетесь и как будет пролегать маршрут,есть несколько хороших сервисов аренды авто зарубежом,смотря какое авто вам надо и опять же в какой стране.",, Mi Glushko, 6 ноя 2019, Travel
"Хотим с подругой купить самый дешевый тур в Италию в 3* отель в Римини, только ради дешевого перелета. Воспользоваться трансфером с аэропорта и заселиться в зараннее забронированной квартире. Так же возможно? Обязательно ли заезжать в отель, предупреждать что мы не будем у них жить? Может достаточно уведомить гида? Может кто нб так делал...Поделитесь",,sie,11 сен 2017,Travel
" Конечно, можно. Всем по барабану где вы жить будете, но гида лучше уведомить. Только зачем в Римини то? Италия красивейшая страна, а Римини - это бюджетный курорт для ""пакетников"" уровня нашего Адлера. Покупайте билеты через агрегаторы visles, momodo будет не сильно дороже, в Италию из Москвы летаетбюджетнаяlili, у них вроде недавно акция была, в Неаполь из Москвы за 12 тыс туда обратно",, Гость Тетя Зиля, 12 сен 2017, Travel
" Акция была до 31.8Согласен, лучше самостоятельно покупать билеты. Хотя возможно девушки не планируют жить в Римини, Римини , кстати , приятный городок, про Адлер вы загнули"," Конечно, можно. Всем по барабану где вы жить будете, но гида лучше уведомить. Только зачем в Римини то? Италия красивейшая страна, а Римини - это бюджетный курорт для ""пакетников"" уровня нашего Адлера. Покупайте билеты через агрегаторы visles, momodo будет не сильно дороже, в Италию из Москвы летаетбюджетнаяlili, у них вроде недавно акция была, в Неаполь из Москвы за 12 тыс туда обратно", Гость FiFi, 12 сен 2017, Travel
 ," Конечно, можно. Всем по барабану где вы жить будете, но гида лучше уведомить. Только зачем в Римини то? Италия красивейшая страна, а Римини - это бюджетный курорт для ""пакетников"" уровня нашего Адлера. Покупайте билеты через агрегаторы visles, momodo будет не сильно дороже, в Италию из Москвы летаетбюджетнаяlili, у них вроде недавно акция была, в Неаполь из Москвы за 12 тыс туда обратно", sie, 18 сен 2017, Travel
" мы с мужем так часто делаем, в прошлом году купили горящий тур за 6 тыс в Тай, оттуда из Пхукета на 6 дней в Сингапур, если лететь в сингапур из Москвы билеты на двоих от 1 тыс , а из Пхукета взяли за 17, и Сингапур посмотрели и в Тае потусили)))",, Гость леля, 18 сен 2017, Travel
" Конечно, можно. Только по срокам смотрите, чтоб вернуться вовремя. Виза то у вас будет короткая.",, Татьянка, 18 сен 2017, Travel
" Ales писала:Ну вот и еще один счастливчик во всей красе  Фотки чудесныеКак же можно не влюбиться в такие просторы...  Да после наших городских коробок окно в окно...Серега уже загорелся поехать туда зимой, ему бы только на лыжах покататься, а мне чем в это время заниматься?   Говорит, что там есть гуцулки, но меня они не заинтересовали. Тогда, говорит, гуцулы. Об этом надо подумать  Рада за тебя, выглядишь здоровоЖдем продолжения.",, AChsb, 7 окт 2019, Travel
"Ищу попутчиков для отдыха в ноябре-декабре, хочу поехать во Вьетнам, или любую другую безвизовую страну, вылет из Москвы. Отдых комбинированный, то есть и активные экскурсии, и тюленюшкой на пляже поваляться)) Программа на Вьетнам такая: сначала Ханой, в бухту Халонг на три дня, потом Фукуок на недельку, дайвинг, серф и прочие островные радости, ну а напоследок Хошимин со всеми достопримечательностями. Но рассматриваю любые варианты. Главное хорошее настроение и веселые попутчики. Го отдыхать)",,Tem2Tvel,10 окт 2017,Travel
" Существование прошлого - такая же иллюзия для сознания, как и свет зашедшего солнца. Мы существуем там, где наше сознание, будь то пространство, время или что-либо еще.",, ZdoovVW, 18 сен 2019, Travel
"Каждое лето, в период отпусков, мы приезжаем с мужем на Азовское море, а точнее в Кирилловку. Мне кажется, что там отдыхал каждый второй украинец!:) В Кирилловку мы приезжаем с перевозчиком на комфортабельных автобусах, для детей они делают скидку и развозят по базам отдыха! Жильё мы ищем предварительно в интернете, по телефону бронируем. Посещаем каждый раз аквапарк - это наше любимое развлечение в Кирилловке! Всем советуем!Изменено 31 авг 219 пользователем Сергей Владимировичссылки запрещены",,Gli1579,5 дек 2018ttttttt(изменено)ttttttttttt,Travel
" Ща напряги с Украиной, что будет летом хз)) мб границу закроют",, Zhey212, 5 дек 2018, Travel
" Мы тоже часто ездим на отдых в Кирилловку. Нравится, что море всегда чистое, теплое. Нет наплыва медуз, как в Геническе например.",, peeko_m, 10 янв 2019, Travel
" Вообще, интересно. Не задумываласьоб этом",, Aleys, 19 янв 2019, Travel
 интересно,, ppolik, 21 янв 2019, Travel
" Ну не знаю...мы в прошлом году с дитём были на азовском море. Мне понравилось. Нормальное там море, вполне чистое, мелкое, как раз ребенку. Единственное что пляж ракушечник мелкий, трудно отмывать потом но это фигня.",, Lebize, 31 авг 2019, Travel
"Автор: Ty, НовосибирскХочу как можно больше посмотреть во Южном Вьетнаме за короткий отпуск, поэтому с учетом билетов на самолёты (эконом без багажа) план таков 26.2.18 из Новосибирска в Бангкок (до след. дня), там посмотреть что успею, после вылет в Хошемин (тоже с остановкой на день) далее на 2-3 ночи в горный Далат и по близлежащим местам, после Муйне - пляжный отдых до 9-1.3, планирую экскурсию на остров развлечений под Нячангом (если из Далата не получиться) далее 1.3 в отель у аэропорта Хошемина, чтобы утром вылететь в Бангкок, а там, сменив аэропорт, обратно в Новосибирск. Бюджет поездки по возможности экономный, но без хостелов и больших сожалений (буду брать кредит). Некоторые вариации по дням и посещению интересных мест приветствуются. Я ограничена плохим английским и отсутствием автомобильных прав (даже байк не взять).",,Tem2Tvel,27 ноя 2017,Travel
" Мой друг раза три уже там был. Он дайвер, с опытом погружения много где, но до сих пор убежден, что дайв во Вьетнаме один из лучших.",, AlekceuBk, 21 авг 2019, Travel
"Подскажите, в какую страну вы бы хотели совершить путешествие? А может даже в какой-то определенный город? И почему вы до сих пор не осуществили свою мечту?",,Стервочка),10 май 2016,Travel
" Я во многие страны хотела бы попасть. Хотела бы побывать в Японии, в Китае, в Индии, в США, в Мексике и во многих европейских странах. Сейчас на путешествия нет финансовой возможности.",, Мультяшка, 10 май 2016, Travel
" Я тоже хочу в Японию и Индию. В европейских странах мне не очень интересно, так как у них все похоже на то, что у нас. А вот в Японии и Индии другая культура, другой менталитет.",, Мадам, 10 май 2016, Travel
" Помню, однажды у Ю.Сенкевича, который был везде, спросили в его передаче - какое самое красивое место в мире? Он ответил почти моментально и с уверенностью: ""Камчатка"". А я восточнее Урала нигде не была. А хочу. И хочу ещё раз в Фанские горы, воспетые Визбором.",, Floe, 16 май 2016, Travel
 Камчатка реально очень красивая! Всем советую!,, Анжелика, 16 май 2016, Travel
" Я хочу в Японию. Еще хочу в Индию, но боюсь местной заразы. Говорят, что там очень грязно и легко подхватить какую-нибудь инфекцию. Меня это сильно останавливает.",, Сердцеедка, 19 май 2016, Travel
" Если внутри нашей страны, то я бы Байкал посетила. А из других стран, я очень много где хочу побывать, что даже перечислять не вижу смысла. Все равно что-то, да забуду.",, Стервочка), 19 май 2016, Travel
" На Байкал бы я тоже поехала. Но из Подмосковья перелет будет ну ооочень дорого стоить. Поэтому не решаюсь. На машине слишком долго и тоже дорого. В общем, не разбогатела еще для подобных поездок",, Королевна216, 19 май 2016, Travel
" Я бы хотела побывать везде, так как в каждой стране есть что посмотреть. На данный момент мечтаем с мужем об Испании, хотим побывать в Барселоне. Муж фанат футбольного клуба Барселона очень хочет побывать на стадионе ФК.",, Иришка, 19 май 2016, Travel
 ," Я бы хотела побывать везде, так как в каждой стране есть что посмотреть. На данный момент мечтаем с мужем об Испании, хотим побывать в Барселоне. Муж фанат футбольного клуба Барселона очень хочет побывать на стадионе ФК.", Floe, 19 май 2016, Travel
" Я очень хочу в Норвегию. Я люблю кататься на лыжах, а где ещё как не в Норвегии это делать. Я просто мечтаю покорить знаменитые склоны Норвегии. И где ещё встретишь столько мировых звёзд спорта.А не посетила её ещё по причине отсутствия денежных средств, поэтому пока в ближайшем будущем это так и останется мечтой.",, Blly, 28 май 2016, Travel
" Муж в прошлом году летал туда с друзьями, они были просто в диком восторге от морской рыбалки.",, Twiksi, 28 май 2016, Travel
" Меня так прельщает Африка, кажется, там столько неизведанного. Может я в прошлой жизни негрой была? !  Хочу туда, но чтобы не заболеть какой-нибудь страшной болезнью. ",, ilik, 21 июн 2016, Travel
 Хочу на скандинавский полуостров) Фьорды там красивенные),, Ямпольская, 21 июн 2016, Travel
" если обездили все места своей страны - то можно и куда-то поехать. Но сколько мест есть рядом, возле нас - которые мы не видим. А все мчимся куда-то в неизведанное.",, Xyhuvupu, 13 июл 2016, Travel
" так интересно же в неизведанном все изведать, природа у путешественников такая. Хотя правда, столько мест красивых и интересных под носом",, Dmo4k, 17 июл 2016, Travel
" и я хочу везде) но только с комфортом, а не абы как но лишь бы ездить)",, VioleY, 17 июл 2016, Travel
" Мечтаю съездить на Алтай, Байкал, в Ирландию и Венецию ",, Гугусик, 17 июл 2016, Travel
 Я была в Алтайском крае. Очень красиво. Поездка была впечатляющая. Ирландия - это для меня вообще страна загадочная. Хотелось бы туда поехать.,, Tli, 17 июл 2016, Travel
" Я бы хотела в Грецию переехать жить, но там очень дорого. Недавно смотрела там недвижимостьи если честно, то такой красоты я ещё не видела, но реально дорого, а как-нибудь туда снова съездим с мужем. Уже были там и не раз",, olk235, 8 авг 2016, Travel
 Я сейчас с удовольствием бы оказалась на Мальдивах или Сеншейлах,, Мариса, 8 авг 2016, Travel
" На Шриланку умираю хочу, там просто классно - отдых для души и тела...",, mizoloov, 8 авг 2016, Travel
 ," На Шриланку умираю хочу, там просто классно - отдых для души и тела...", Deeb, 13 авг 2016, Travel
" Соглашусь с вами, тем более пока молодой и ничего не держит на много проще обосноваться на новом месте! У меня так знакомый уехал на Кипр только как студент, потупил учится в их вуз и там и остался жить. Раньше жил в общежитии, но посмотрев цены на аренду собственного жилья, решил снимать отдельно квартиру, так как там цена в месяц за комнату от 3-т долларов и это не считая коммуналку. Вообщем к чему я это все, наверное к тому что если есть цель, то к ней надо продвигаться любимы методами!"," а что родина? если что-то держит на родине то да, сложно. а если нет ни детей, ни мужа ни карьеры то можно спокойно уезжать", Аризона, 14 авг 2016, Travel
" Я бы хотела попасть в Индию и Тайланд. Но самое заветное это Япония - Токио - мне просто нравится, все развитое. А Япония как раз считается уже постиндустиральной страной т.е. самая продвинутая на мой взгляд) Ну и вообще я думаю там красиво)",, Ali9, 15 авг 2016, Travel
" Согласна. У меня здесь все. Моя семья. Это для меня главное. А вот путешествовать люблю, но если бы еще на все хватало денег))) Хотелось бы в Аргентину для разнообразия отправиться.",, Tli, 15 авг 2016, Travel
 Хочу побывать в Тайланде,, Валентина, 18 авг 2016, Travel
" А я всегда хотела побывать на Алтае в качестве отдыхающего. Почему то не люблю пляжи, а вот горы и активный отдых - это по мне. В прошлом году исполнила свою мечту и попала наконец то туда) Номер был у меня на базе Медвежья гора,как там красиво, сложно описать. Горнолыжный спуск, конные прогулки, туристические экскурсии пешком. Вечером возвращаешься в номер уставший и счастливый, чашечку какао перед камином с книжкой..мечта, а не отдых))",, mi4, 22 авг 2016, Travel
 А я в доминикану хочу((( Но никак финансы и время не выделим на это,, li.l, 22 авг 2016, Travel
" Мечта приехать в штаты, взять трейлер и поехать по всем штатам.",, Тирион, 24 авг 2016, Travel
" Хотела бы в Сингапур. Очень нравится инфраструктура. Я бы даже сказала завораживает. Даже не вериться, что люди такое способны сотворить",, missis.om, 30 авг 2016, Travel
" У меня там были знакомые, вообще удивительная страна."," Хотела бы в Сингапур. Очень нравится инфраструктура. Я бы даже сказала завораживает. Даже не вериться, что люди такое способны сотворить", Ndyhope, 30 авг 2016, Travel
 Вот и я думаю что удивительная)),, missis.om, 15 сен 2016, Travel
" Давно хочу в Испанию) с детства мечтала, но до сих пор не побывала. Будущим летом все-таки поеду))",, Германика, 22 дек 2016, Travel
 а мне сегодня захотелось в Албанию. вот так,, p, 22 дек 2016, Travel
я везде хочу) мне кажется что в любой стране и в любом городе можно отыскать много красивого и интересного),,Augusi,23 дек 2016,Travel
 Полностью солидарен., в любой стране и в любом городе можно отыскать много красивого и интересного), Адам Малхиев, 23 дек 2016, Travel
" Соглашусь с вами. Часто мы даже не знаем, что у нас есть очень интересные места даже в своем городе", я везде хочу) мне кажется что в любой стране и в любом городе можно отыскать много красивого и интересного), womlks.u, 23 дек 2016, Travel
" Мне хочется побывать в Прибалтике где-нибудь, ни разу в жизни не довелось. Правда, были в Калининграде один раз, но это не совсем то. Вот в Латвии хотелось бы провести пару недель, погулять по городу, может быть, в море искупаться.Изменено 1 янв 217 пользователем Deeb",, Deeb, 10 янв 2017ttttttt(изменено)ttttttttttt, Travel
 я бы хотела побывать в Испании - очень нравится язык и культура. знакомые ездили -полный восторг,, Джули, 10 янв 2017, Travel
" Когда я была больна, мне назначили лечение в Израиле и я с родителями туда полетела прошла курс лечения, врачи мне очень понравились все вежливые и откликаются на любую вашу просьбу и современное на то время оборудования. Когда я выздоровела мы еще на неделю там остались, погуляли и с тех пор мечтаю еще раз слетать туда и погулять",, Саша97, 9 фев 2017, Travel
 странно бояться индию из-за заразы...,, курочкакоко, 9 фев 2017, Travel
" Я почему-то еще со школы очень хочу полететь в Австралию. Смотрела много фотографий, много разных видео, там такая красота! Экзотических животных австралийских увидеть интересно было бы, национальную еду попробовать. Надеюсь, мечта осуществится! ",, VsheVisochesvo, 19 фев 2017, Travel
" А мне очень в италии понравилось...Я уезжала довольно давно в этустрану, и училась там 6 лет. Думала остаться, а домой то все равно тянет. Вот приехала, мне тутпереводчики-инженеры перевили мой диплом. И сейчас я в России работаю, на родине тоже неплохо)",, FoiOll, 19 фев 2017, Travel
" да, это точно про свой город сказано) зато туристы о нашем городе очень много знают)",, Augusi, 27 апр 2017, Travel
" Банально, но я бы хотела в Париж. Не то, чтобы прямо город мечты, но хочется. А все Гришковец со своим ""Одновременно"". Хочется пережить такие же чувства, как его герой)))",, Татьянка, 27 апр 2017, Travel
" Моя мечта-Куба, сейчас конечно это дороговато для нас, но в следующей году однозначно туда махнем! В этом году едем с малышом в Сочи. у нас в этот раз спокойный и размеренный отдых)",, Вероника В, 25 май 2017, Travel
 Да хоть в какую))нигде не были),, Voodoo, 25 май 2017, Travel
" Сочи хорошее место для отдыха, особенно , если не на недельку, а на месяц поехать. малышу так будет намного полезнее) правда насколько мне известно, жилье там очень дорогое, да и проживание в целом"," Моя мечта-Куба, сейчас конечно это дороговато для нас, но в следующей году однозначно туда махнем! В этом году едем с малышом в Сочи. у нас в этот раз спокойный и размеренный отдых)", Sve812, 25 май 2017, Travel
 Очень хочу побывать в Японии. Я тащусь от их культуры и еды. Но чтобы осуществить эту мечту мне нужны деньги которых у меня к сожалению нет(,, Kiochk, 10 июл 2017, Travel
" Все жизнь мечтаю попасть в Америку, только не жить ,а так просто на пару месецев, мне кажется любой хочет оказаться в атмосфере кина",, ssh.cuuzow216, 10 июл 2017, Travel
 Я бы хотела в Испанию и Канаду,, Натали321, 10 авг 2017, Travel
" Я недавновычитала про Черногорию и решила, что поеду в сентябре туда. Тем более что снять аппартаменты реально даже за 3 евро. Так спокойно сел в самолет и через пару часов на месте.",, Teflc, 23 авг 2017, Travel
" Мы тоже недавно ездили в Канаду. Бронировали тур в Меридиане. Если надумаете ехать, то Бронируйте ОН ЛАЙН! У них на сайте очень хорошие есть предложения.", Я бы хотела в Испанию и Канаду, ssh_kyz, 13 сен 2017, Travel
 Кстати в плане Европы могу порекомендовать на бархатный сезон поехать в Черногорию.,, Гость, 5 окт 2017, Travel
" А я хочу в Чехию. МОравский крас хочу посмотреть. Мы проезжали транзитом через Прагу, но хочется посмотреть Моравию и Богемию. Туда, где снимались чешские сказки в советское время очень популярные.",, Татьяна Лавр, 20 окт 2017, Travel
" Для начала, я бы хотела объездить свою страну - Русь. Побывать в каждом ее уголке, узнать как там живут, посмотреть достопримечательности. А уж потом можно будет подумать и про другие страны."," Подскажите, в какую страну вы бы хотели совершить путешествие? А может даже в какой-то определенный город? И почему вы до сих пор не осуществили свою мечту?", sveochk.mksi, 20 окт 2017, Travel
" Я всеми руками и ногами за то, чтобы посетить Британию) страна очень интересная, с замечательными традициями",, Augusi, 13 дек 2017, Travel
" Менякак-то Европа никогда не привлекала. Больше нравится Юго-восточная Азия. Так что, если выбирать из стран, то Шри-Ланка, Индонезия, Филиппины )",, Agel_S, 5 янв 2018, Travel
" Я бы хотела отправиться в Чехию. Почему? Вот несколько причин, по которым эта страна меня привлекает.1) Возможность добраться по железной дороге, что для меня очень важно, и относительно не дорого.2) Отсутствие языкового барьера, т.к. в Чехии ещё многие помнят русский язык (спасибо СССР), и чешский язык не режет русское ухо.3) Климат благоприятный, не очень отличается от нашего ( я живу в Средней полосе России).4) По сравнению с соседними странами, Чехия недорогая страна, вполне доступные цены на проживание и питание.5) Национальная кухня, и конечно знаменитое пиво. Я поклонница этого напитка.6) Чехия расположенав центре Европы, и поэтому поездку можно совместить с короткими экскурсионными турами в соседние страны (Германию, Австрию, Словакию).7) Это страна, где хорошо сохранилась старинная архитектура, много уютных старых улочек, старинных замков, можно отдохнуть от бешенных домашних ритмов.8) Очень хороший шопинг. Декабрь-январь, апрель, июль и октябрь – время скидок на товары пятьдесят-семьдесят процентов, в том числе и известных брендов. Эти месяцы очень удобны для отпуска и новогодние каникулы очень кстати (отпуск можно сохранить).С удовольствием бы поехала , но по роду своей деятельности, я не выездная.",, Лисичка, 5 янв 2018, Travel
" мечтаю о перу, очень привлекает эта страна, хосу побывать в столице инков кон тики",, аррина, 19 янв 2018, Travel
 Были с друзьями в Испании. Понравилось.,, Tuy, 28 сен 2018, Travel
 в италию мечтаю,, ppolik, 21 янв 2019, Travel
" Я бы поехала в Испанию, а там рукой подать и до Португалии. Можно одним махом посетить не только две страны, но и побывать на Средиземноморье и увидеть Атлантический океан. Это же чудесно!"," Подскажите, в какую страну вы бы хотели совершить путешествие? А может даже в какой-то определенный город? И почему вы до сих пор не осуществили свою мечту?", КюшечкаН, 30 янв 2019, Travel
" Очень хочув Япониюв города Токио и Киото, но пока финансы не позволяют(",, EkeiN, 23 апр 2019, Travel
"Добрый день, завтра вечером вылет в Питер с Москвы, был по работе, город толком не знаю, помогите быстро добраться в аэропорт, не хочу опоздать, так как билет куплен компанией, лишних денег нет. За ранее спасибо.",,ooviv,20 июл 2016,Travel
