text,users,times,topic,quote
"Боже,6 одинак.коментов.Что√то с техникой моей происходит или со связью ,или с головой √память√то пока не появилась(шучу)!Девочки извиняйте!!!", Laralay ," 19 июля 2013, 00:29 ",Depression,
"У меня была тяжелая форма депрессии как результат: астма,панические атаки,расстройтсва сна,честно скажу неоверила что выберусь уже попрощалась со всеми родными это страшно оч страшно...помогло в целом 2 вещи,но на восстановление здоровья после этого ада ушло еще 4 года,когда выбиратся стала радовалась всему как ребенок даже луже и грязи подногами))) Первую очередь я полностью поменяла свой ритм жизни я сова а жила как и большинство по режиму жаворонков,потом пила травы и витамины,и еще психотерапия по телефону доверия(бесплатно) у меня и денег небыло тогда т.к. я не работала из-за своего состояния,первый раз позвонила нарвалась на какую то клушу она только вопросы задавала и ничего толком не говорила но второй раз попалась профессионал она как пошла расскладывать по полочкам мои проблемы,в общем потихоньку выкарабкалась,еще всем страдающим депрой советую прочесть книгу александра лоудена депрессия и тело, реально лучшая книга о депре всех времен и народов.( в инете можно бесплатно скачать)", Аля ," 20 июля 2013, 23:31 ",Depression,
, marisha ," 07 августа 2013, 13:52 ",Depression,"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, уволилась. Накупила витаминов, стала чем-то себя занимать и поняла,что стало ещё хуже. Апатия и нервозность одновременно, не понимание того,как люди радуются по мелочам. Мне интресно, кто лечился у психиатра? Когда мне терапевт посоветовала найти ""хорошего врача"" я немного смутилась и стала говорить:""Я не псих!"". Но понимаю,что так жить нельзя. Как вы нашли врача? по месту жительства или в клиниках? И каковы успехи?"
"Марго, Добрый день, Вам! Была в похожей ситуации. Могу поделиться личным опытом, если хотите marisha.molchan@mail.ru", marisha ," 07 августа 2013, 13:54 ",Depression,
"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, …", Марго ," 17 сентября 2012, 10:47 ",Depression,
"иди к врачу!!! не затягивайте....был веселый, жизнерадостный, общительный человек.... потом просто сорвался из-за пустяка....затем была депрессия... всегда совсем справлялся сам .... работал на двух работах... учился.... стыдно было обращаться к врачу... да и живу в маленьком городе...психотерапевта нет.... только психиатр... обратился только тогда когда уже рассорился со всеми близкими и друзьями ( срывался ужасно, говорил постоянно одно и тоже)... затем просто не смог даже вставать...4 месяца потребовалась чтобы просто выбраться из этого состояния... сейчас еще поддерживающая терапия... смело могу сказать что побывал в аду...не слушайте никого ... все эти советы ""возьми себя в руки"", ""ты тряпка"" "" сходи куда-нибудь"" полная чушь....кто не испытал тому не понять", иван ," 16 августа 2013, 02:17 ",Depression,
"С депрессией самому очень сложно справиться, я из личного опыта это знаю. Мне в свое время очень помог Ковалев Алексей Владимирович, я к нему год ходила на прием, и очень ему благодарна, он действительно свое дело знает, и хорошо помогает, у меня сейчас мама к нему начала ходить, а то после развода она совсем в себя ушла.", Вероника ," 09 сентября 2013, 23:47 ",Depression,
"Я могу поделиться опытом, причем положительным. Год назад у меня произошло довольно страшное событие в жизни, после чего я потеряла всякий интерес ко всему. Спасибо друзьям за поддрежку и за то, что именно они заставили меня обратиться к профессионалам. Тут, надо заметить, еще врач врачу рознь! Мне очень помогло человеческое отношение в центре В.Светоча, где мне просто звонили, чтобы узнать как у меня дела, как я себя чувствую, были очень внимательными!", Turn_back ," 19 декабря 2013, 19:21 ",Depression,
, Гость ," 10 января 2014, 21:42 ",Depression,"от наличия или отсутствия личной жизни не зависит, у меня парень-ангел, однако раз 5 за этот период его чуть не бросила, скандалила и была постоянно недовольна, слава богу он все вытерпел"
"С депрессией лучше всего идти к психологу. Я обращалась мне психолог очень помог. Я поняла, что стояло за моей депрессией и от чего в своей жизни я пряталась за ней. Вот его статья на тему депрессии: http://psiholog-moskva.com/articles/psixologicheskaya-pomosh​h-pri-depressii/", Мария ," 19 января 2014, 18:25 ",Depression,
"всем привет. Ребята! у меня уже 6 лет панические атаки. постоянная депрессия, нервозность, задыхаюсь, ничего не могла делать совершенно. сидела дома постоянно, взяла академку, короче все шло очень плохо. потом я поехала в москву в клинику, там лежала долго, были групповые тренинги. на самом деле нет ничего постыдного, если ты ходишь к психологу. у всех людей на разных этапах жизни случаются нервные срывы. вобщем, приехала домой после клиники, мне стало лучше. не то, чтобы я совсем забыла про панику и невроз, но я уже могу ходить хоть куда-нибудь, тревога остается, но не в таких масштабах. к сожалению во Владивостоке нет групповых занятий, где могли бы люди с похожими проблемами собраться и поделиться опытом. всем нам нужна поддержка, а кто поймет нас, как не тот, кто с этим столкнулся. я предлагаю организовать такие группы, психолога я уже нашла, место для встреч он нам найдет. те, кому это интересно, звоните 89146675557. не стесняйтесь того, что вы заболели. вы не виноваты.", кристина ," 26 января 2014, 02:57 ",Depression,
"А мне помогли здесь :http://ru.info-inters.org/ru/ Точная диагностика, правильный подход, и мне вновь захотелось радоваться жизни", Ольга ," 26 января 2014, 16:31 ",Depression,
"Совершенно согласна, депрессию обязательно нужно лечить у психотерапевта. Если боитесь синтетических антидепрессантов, обратитесь к натуральным препаратам. Из опыта могу посоветовать настойку зверобоя (известный антидепрессант еще с античных времен) или нейрофулол, всё продается без рецепта и не имеет побочных эффектов", elena1980 ," 29 января 2014, 11:47 ",Depression,"Психиатром тут не пахнет. Ваш терапевт - дура(к), раз посоветовал(а) психиатра. Вообще депрессию надо лечить! Затяжная депрессия приводит к ее хроническому течению и лечить ее становится сложнее. Поэтому вам нужно идти психотерапевту. Это не психиатр, это врач..который вам объяснит, что с вами происходит и выпишет препараты для лечения депрессии."
"http://elgreloo.net почитай здесь , недавно видел статью об этом", orika ," 07 февраля 2014, 20:15 ",Depression,
"Laminine повышает уровень серотонина. Я сама почувствовала изменения после первых капсул. Стало на душе спокойно, настроение поднялось, сон крепкий, возобновился естественный биоритм и много чего еще. http://www.laminineheal.com/laminine/", Luchara ," 06 марта 2014, 15:30 ",Depression,
Могу посоветовать хорошего психолога который мне помог в свое время: http://psiholog-moskva.com/articles/psixologicheskaya-pomosh​h-pri-depressii/, Марина ," 07 марта 2014, 16:51 ",Depression,
Думаю вам будет это полезно. Oтзывы людейhttp://svidetelstvalaminine.com/depressi...За более подробной информацией обращайтесь поSkype: radugakraft, tanja ," 11 марта 2014, 21:49 ",Depression,
Думаю вам будет это полезно отзывы людейhttp://svidetelstvalaminine.com/depressi...За более подробной информацией обращайтесь поSkype: radugakraft, tanja ," 11 марта 2014, 21:50 ",Depression,
"Возможно у вас накопились обиды, чувство вины, нерешенные конфликты, нереализованные цели, комплексы.Психотерапевт как раз таки помогает их проработать .Приспособление к родительским потребностям зачастую (хоть и не всегда) приводит к превращению ребенка в ""псевдоличность"", развитию мнимого Я. Человек ведет себя так, как от него хотят, и постепенно этот тип поведения начинает определять все его поступки и помыслы. Его подлинное Я остается в зачаточном состоянии, так как отсутствуют какие-либо возможности для его становления. В результате такие пациенты жалуются на отсутствие смысла в жизни, неприкаянность и душевную пустоту. И эта пустота вполне реальна. Действительно, наблюдаются полное душевное опустошение, обеднение и частичная утрата возможностей. Внутренняя целостность оказалась нарушенной, и это не позволяет ему свободно выражать свои эмоции.", Лена ," 22 апреля 2014, 11:37 ",Depression,
а где найти этот препарат . депрессия замучила . пью селектру мало помогает ., татьяна ," 12 мая 2014, 16:36 ",Depression,"Laminine повышает уровень серотонина. Я сама почувствовала изменения после первых капсул. Стало на душе спокойно, настроение поднялось, сон крепкий, возобновился естественный биоритм и много чего еще. http://www.laminineheal.com/laminine/"
а где найти этот препарат . у меня депрессия тяжелой степени . пьб селектру и хлопротексин . пока эффекта мало ., татьяна ," 12 мая 2014, 16:37 ",Depression,
Найдите хорошего иглорефлексотерапевта....., Aigul ," 25 мая 2014, 13:27 ",Depression,
"Бешеный темп на работе загнал мужа. Лечился от депрессии в клинике доктора Федоровой. Загнать себя легко, трудно восстановиться. Мне пришлось настоять на обращении к врачу. Условия стационара достойные, но выше ставлю уровень врачей и персонала. Помогли преодолеть и восстановиться.", Ольга ," 02 июня 2014, 23:05 ",Depression,
Про выход из так называемой депрессии вот здесь рассказывается подробно. Проверено;) www.world7.ru, Anna ," 15 июня 2014, 21:01 ",Depression,
"Глубокую депрессию лечила в Клинике доктора Федоровой. Ощущение полного профессионального краха, пустота в жизни и нежелание, невозможности что-либо изменить... Помогли профессионалы врачи. Вернули к активной жизни... Достойная клиника и условия стационара.", Лиза ," 16 июля 2014, 08:52 ",Depression,
"Лечилась у психиатра. Тоже сначала думала, что это страшно, как же так, я не псих, у меня ничего нет. Но, муж настоял. За руку отвел в клинику. Там пообщалась с психиатром, посоветовал начать сеансы психотерапии. Особо залечивать не стал, в смысле таблетками не пичкал. И ничего, через пару-тройку недель полегчело. Стало отпускатть. Потом и вообще жизнь снова радовать стала. Лечилась кстати в клинике доктора Минутко. Не бойтесь идти к врачу - чем раньше начнете - тем проще будет. А в частных клиниках - это же анонимно, никто не узнает", Арина ," 18 августа 2014, 10:20 ",Depression,
, Гость ," 15 сентября 2014, 03:08 ",Depression,"В Израиле депрессию очень быстро излечивают-ученые разработали -специальные шумы на дисках , которые повышают бетта волныИ страхи так лечат и другие невралогические проблемы.я хочу У кого есть возможность приезжайте!!!"
, Диана ," 24 сентября 2014, 17:13 ",Depression,"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, уволилась. Накупила витаминов, стала чем-то себя занимать и поняла,что стало ещё хуже. Апатия и нервозность одновременно, не понимание того,как люди радуются по мелочам. Мне интресно, кто лечился у психиатра? Когда мне терапевт посоветовала найти ""хорошего врача"" я немного смутилась и стала говорить:""Я не псих!"". Но понимаю,что так жить нельзя. Как вы нашли врача? по месту жительства или в клиниках? И каковы успехи?"
, диана ," 30 сентября 2014, 11:52 ",Depression,"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, уволилась. Накупила витаминов, стала чем-то себя занимать и поняла,что стало ещё хуже. Апатия и нервозность одновременно, не понимание того,как люди радуются по мелочам. Мне интресно, кто лечился у психиатра? Когда мне терапевт посоветовала найти ""хорошего врача"" я немного смутилась и стала говорить:""Я не псих!"". Но понимаю,что так жить нельзя. Как вы нашли врача? по месту жительства или в клиниках? И каковы успехи?"
jk, Милена ," 03 октября 2014, 09:51 ",Depression,
"Депрессию,если она есть на самом деле,необходимо обязательно лечить,и не надо бояться АД,только они помогут,я думала что жизнь моя закончилась-помоги АД.Поверьте-ДЕПРЕССИЯ-ужасное и очень серьезное заболевание,а не просто плохое состояние души.", Юлия ," 05 октября 2014, 17:18 ",Depression,
"Хочу сходить на прием к доктору гао! Уже все пере пробовала! Давление, пульс, перебои сердца беспокоят! Вечный страх смерти! Что делать не знаю! Глицин, пустырник, афобазол не помогают! Не знаю просто что делать!", Мария ," 07 октября 2014, 17:40 ",Depression,
"У меня была дипрессия. 2 года где-то, сначала год не подозревала, думала это просто плохой период и сложности в личной жизни..но после того как решила,что так продолжаться не может больше и надо выходить из этого состояния..и не смогла! И тут я поняла,что в дипрессии. Начала сражаться за свое здоровье, к традиционной медицине не обращалась-не верю ей!!Слушала лекции Торсунова Олега(преодоление стресса), соблюдала режим дня, кушала полезные продукты, отказалась от мяса-стало чуть легче но не вылечела... И только молитва матери и ее аскеза спасла, поехала в Святое место и 2-е суток молилась святому человеку...и о чудо-сразу на следующий день все ушло.Конечно последствия депрессии остались-истощение(вес так и не набирается), отсутсвие аппетита так и не вернулось..но физическое тело восстановится, главное что б с головой был порядок:)))", Lisa ," 19 октября 2014, 22:33 ",Depression,
У ВАС наверно тревожно-фобическое расстройство с акцентом на сердечно-сосудистую систему . если есть депрессивные компоненты в структуре заболевания то это соматизированная депрессия с вовлечением сердечнососудистой симптоматики . То что Вы сейчас принимаете не поможет надо принимать другой спектр препаратов. если ВАМ интересно и есть потребность могу посоветовать . пишите на kr2008@***.ua, Виталий ," 21 октября 2014, 15:59 ",Depression,"Хочу сходить на прием к доктору гао! Уже все пере пробовала! Давление, пульс, перебои сердца беспокоят! Вечный страх смерти! Что делать не знаю! Глицин, пустырник, афобазол не помогают! Не знаю просто что делать!"
"Часто результатом депрессии становится неправильное функционирование органов и систем организма. На состояние человека оказывает воздействие гормональный фон и уровень токсичного загрязнения печени. Это состояние может проявляться в полной аппатии, нежелании ничего делать, ни с кем общаться. Одновременно может возникать беспокойство, тревожность. Обычно в таком случае назначается курс антидепресантов и транквилизаторов. Но это путь в никуда, ведь доза постепенно будет расти, а привыкание обеспечено. Эти препараты лишь снимают на некоторое время симптомы, а проблема остается. Вдобавок к этому увеличивается медикаментозное загрязнение печени. Опытные медики признают низкую эффективность такого лечения, однако изменить методы традиционной медицины не так просто. Начальным этапом для выхода из этого состояния должна быть очистка организма от токсинов. Использовать следует исключительно натуральные средства (причем их стоимость гораздо ниже, чем у традиционных препаратов, купирующих симптомы депрессии). Более подробно о них могу рассказать в личке. Почта naturmedic@mail.ru", Vladimir ," 28 октября 2014, 11:01 ",Depression,
"Ответ на: ""господи, милая, какой психиатр?? вы о чем??? и депрессии у вас нет.. ВЫ САМИ СЕБЕ ВНУШИЛИ..""Вы просто никогда не были в этом состоянии. И, видимо, никто у вас не умирал из близких трагической смертью, органы вам не вырезали и на будущем крест не ставили. При серьезной депрессии не только плохое настроение, но и бессонница, кошмары. страшная подавленность по утрам, тахикардия, отсутсвие аппетита и похудение, рвота. Нарушается все - режим дня, скорость реакции, когнитивные способности. Не говорите ничего. если сами не испытали! Ханженство!", Максим ," 18 ноября 2014, 05:01 ",Depression,
"Сегодня я расскажу тебе о том, почему тебе нужно жить. Сейчас, возможно, тебе плохо. Ты страдаешь, что нет человека, который любит тебя, а тебе эта любовь необходима. Это состояние пройдет. Тебе сейчас нужно сосредоточиться и взять себя в руки, не думать о том, что нет того, кто тебя любит. На самом деле тебя любят и испытывают к тебе интерес. Просто этот момент не сейчас. Знай, что любовь к тебе существует. И она существует именно в том виде, в каком тебе нужно. Это естественное чувство.Конечно, ты не можешь найти доказательств тому, что любовь к тебе есть. Но представь, как это неестественно не желать такого человека, как ты. Не хотеть такого обращения к себе, которое можешь дать ты. Причем такого понимающего человека, как ты. Который не будет делать без оглядки. Который применяет свой разум, чтобы создать для другого самые комфортные психологичесие условия, какие только ты можешь создать.Если человек не желает тебя, твоего существования, контакта с тобой, значит, этот человек круто ошибается в своей жизни. Значит, этот человек ошибается, и эта ошибка обернется трудностями и неудачами только для него же. Потому что ты такой человек, которого не желать невозможно. Ты идеальный человек. Не быть с тобой и не помогать тебе - это означает идти против естественности, против самой природы.И если всё-таки человек отвернулся от тебя, тебе не нужно огорчаться и расстраиваться. Просто твоя жизнь изменилась, но нисколько не обеднела. Просто всё, в чём ты нуждаешься, ты получишь другим путём.Всё, что происходит с тобой, все твои мысли, все твои чувства, они неспроста. Они ведут тебя к чему-то. Прежде всего они дают тебе сигнал о том, чтобы подумать о своём здоровье. Или же они дают тебе сигнал о чём-то другом.Депрессия рано или поздно закончится. Но для этого нужно выяснить, в чем болезнь, и лечиться.", Человек Паук ," 13 декабря 2014, 19:30 ",Depression,
Депрессия лечится только антидепрессантами и только у врача-психотерапевта или психиатра!, Алекс ," 20 декабря 2014, 14:14 ",Depression,
Помощь от подобной проблемы и всякого рода зависимостей здесь --->http://molitva.exorcist.promotionalurl.com, Илья ," 24 марта 2015, 15:58 ",Depression,
"Какие лекарство от депрессий без побочных лучше,читал про Нейрофулол это хорошее?", Андрей ," 16 апреля 2015, 09:45 ",Depression,
привет, Андрей ," 02 мая 2015, 01:23 ",Depression,
кветирон200---1 табл. тизерцин25---2 табл. сонапакс25---1 табл. принимать на ночь. очень хорошо помогает при бессоннице., Андрей Барбовал ," 02 мая 2015, 01:26 ",Depression,
очень хорошие таблетки от бессонницы-------ЛЕВАНА. меня они реально спасают., Андрей Барбовал ," 02 мая 2015, 01:27 ",Depression,
"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, …", Марго ," 17 сентября 2012, 10:47 ",Depression,
Если вы очень сильно мучаетесь от бессонницы то попробуйте то что я написал выше. я не занимаюсь самолечением. эти препараты мне назначил психотерапевт., Андрей Барбовал ," 02 мая 2015, 01:31 ",Depression,
всем желаю удачи и здоровья., Андрей Барбовал ," 02 мая 2015, 01:32 ",Depression,
"Всем привет! Я хочу попросить у вас помощи, так как не знаю что мне делать и к кому обратиться. Я познакомилась с молодым человеком в декабре. Он стал ухаживать за мной, мне он нравился и я ему тоже. Мы ходили в кино, целовались, обнимались, долгие разговоры по телефону и переписки все было как в сказке. Спустя некоторое время у него умерла кошка которая прожила с ним 19 лет. И в этот день он предложил переночевать у него. Я естественно согласилась, хотела его поддержать как могла. И после этого мы уже не расставались, я переехала к нему жить. Он рассказал мне все и про первую любовь и про проблемы его мамы. Я всеми силами пыталась его поддержать, и быть всегда рядом. Прошло еще некоторое время и он приболел мы естественно лечились и пили таблетки. Потом его отправили к неврологу и психотерапевту. Как оказалась у него затяжная депрессия уже 3-5 лет. Ему назначили пить таблетки Паксил. сначала по половинке потом по целой. Последние 2 ночи его мучают кошмары и он не может спать. Я за него очень переживаю, но он не верит мне и ему кажется что мне нравиться его друг ( он бабник ) и стал говорить всякие гадости и мерзости. От которых мне обидно, до боли. Я хочу очень ему помочь, так как я полюбила его. И готова на все, только что бы он поправился. Я читала кучу статей, о депрессий. Но он меня не подпускает, и начал меня отталкивать от себя и говорить что без меня все было хорошо. Что мне делать, я не понимаю!!!! Как мне помочь ему выити из этого состояния?", Гость ," 03 мая 2015, 02:46 ",Depression,
"Всем привет, раньше была беда, сутками ревела, ужасная бессоница , волнение и паника, в ночь иногда налаживалось (непонятно правда почему) а потом все снова начаналось . Пью 2 недели Нейрофулол , вроде лучше, перестала реветь хотябы и начала спать , но надо верить в хорошее и это точно произойдет)))))). Иногда правда посещют мысли вдруг и это не поможет ( перепробовала почти все велаксин по 150 + СИОЗС, эглонил и т.д ) Так что надеюсь на лучшее", Алия ," 06 мая 2015, 20:08 ",Depression,
Мне очень помог в выборе антидепрессанта сайт http://prodepress-chernikova.ru/ очень просто и доступно рассказано о всех популярных антидепрессантов., Леночка ," 21 мая 2015, 17:55 ",Depression,
"О да, я солидарна с Алией, тоже пропивала нейрофулол за 6 месяцев до свадьбы, тк такие нервы начали уходить что просто ужас я так начала истерить сильно и срываться на молодом человеке что побоялась тчо свадьбы вообще не будет, эта подготовка, гости и т.д плюс мы должны были уехать в другой город (совсем чужой) и от этого всего я впала в дикую дипрессию я не хотела уходить с любимой работы, это разногласия и споры с ремонтом и квартирой, разногласия и споры со свадьбой, может это я такая ***** что впала в дипрессию , хотя может должна была быть самым счастливым человеком, но все шло не так о чем мечтала, вообщем я начала пропивать таблетки и помогла, очень рада что приняла это верное решение тк нервы пришли в спокойствие и я начал смотерть на все другими глазами, а когда перестала истерить и реветь и парень какой то другой стал, более заботливый .Конечно от переезда меня это не спасло но всеже хоть нервы сберег)))))))))))))", Диана ," 01 июня 2015, 11:02 ",Depression,
"Дам консультацию по лечению депрессии и др тревожно -депрессивных состояний, по скайпу удобнее, или звоните, контакты на сайте www.nevroz,com.ua расскажу и объясню или читайте на сайте . врач психиатр-психотерапевт Бесплатно", Виталий ," 11 июня 2015, 13:21 ",Depression,
, Гость ," 10 июля 2015, 16:34 ",Depression,"иди к врачу!!! не затягивайте....был веселый, жизнерадостный, общительный человек.... потом просто сорвался из-за пустяка....затем была депрессия... всегда совсем справлялся сам .... работал на двух работах... учился.... стыдно было обращаться к врачу... да и живу в маленьком городе...психотерапевта нет.... только психиатр... обратился только тогда когда уже рассорился со всеми близкими и друзьями ( срывался ужасно, говорил постоянно одно и тоже)... затем просто не смог даже вставать...4 месяца потребовалась чтобы просто выбраться из этого состояния... сейчас еще поддерживающая терапия... смело могу сказать что побывал в аду...не слушайте никого ... все эти советы ""возьми себя в руки"", ""ты тряпка"" "" сходи куда-нибудь"" полная чушь....кто не испытал тому не понять"
"я не врач, нейрофулол пропивал, жалоб не обнаружено, работа тяжелая ( северянин) депрессии бывают но тк мужчинам нельзя проявлять слабость я пропиваю препарат (лучше чем уходить в запой), меня он бодрит и дает хорошее настроение, мне нравиться ...", Александр ," 16 июля 2015, 13:34 ",Depression,
"У моего мужа начинались сильные головные боли в связи псио-эмоционального перенапряжения. Ему знакомый посоветовал Нейрофулол. Он его пил когда вечером чувствовал что сильно перенервничал, то перед сном таблеточку чтоб с утра быть спокойным , и без болей. В целом, препарат нормальный , иногда муж еще пьет валерианочку и новопассит, а так каждый человек подбирает себе препараты сам по мере как организм на что реагирует", Лилечка ," 15 сентября 2015, 08:28 ",Depression,
"Депрессия это в большинстве случаев одержимость энергетическими существами. Надо мольше молится. Когда будете молится почуствуете будет плохо, очень плохо. Это не вам плохо а энергетическому вампиру становится плохо. Таблетки мало помогают. Психологи просто научат вас боротся в какой то мере с вампиром. Вгляните во внутр себя мысленно. У вас есть чужие мысли? Сходите в церковь, мечеть.", Нурик ," 17 сентября 2015, 02:42 ",Depression,
"Здравствуйте! Я психолог и работаю с депрессиями в том числе - в паре с психиатром. Да, именно психиатр имеет право назначить медикаментозное лечение. Или же врач-психотерапевт (врач!), что в нашей стране то же самое, что психиатр. Ни в коем случае не покупайте антидепрессанты сами - это может плачевно закончится. Нужна индивидуальная схема в каждом случае - и в каждом случае врач должен смотреть на то, как реагирует Ваш организм. Если напишете на почту abushkina@gmail.com - дам контакты отличного врача - молодой женщины-психиатра, которая прекрасно осведомлена о всех новейших исследованиях и никогда не назначает лишнего. Мария", Maria-psy ," 18 сентября 2015, 00:54 ",Depression,
"Я тоже читала очень хорошие отзывы,заказала и что,написано везде таблетки 30 штук,а там капсулы, и как это понять?!", Фатима ," 01 октября 2015, 18:24 ",Depression,"Какие лекарство от депрессий без побочных лучше,читал про Нейрофулол это хорошее?"
Я сама болела тяжелой депрессией. Очень долго. Я боялась пить антидипрессанты из за их побочек. Мне очень помог психотерапевт Бурно антон маркович. У него есть свой сайт. Он меня спас. Помог без антидипрессантов. Он просто гений!!!!, Гость ," 11 октября 2015, 13:57 ",Depression,
"Таблетки бывают покрытые, непокрытые, шипучие, желудочно-резистентные, также встречаются твердые лекарственные формы с модифицированным высвобождением (это видимо, как раз то, что вы упомянули под словом ""капсула"").", Юлия ," 21 октября 2015, 18:36 ",Depression,"Я тоже читала очень хорошие отзывы,заказала и что,написано везде таблетки 30 штук,а там капсулы, и как это понять?!"
